trip_id,vehicle_id,start_stop_id,end_stop_id,start_time,end_time,duration_min
t325-b1601C-sl4,3107,2028,1171,2025-06-17 08:05:54,2025-06-17 09:39:08,93.23
t34D-b1601E-sl4,3122,2028,1171,2025-06-17 08:44:42,2025-06-17 10:24:32,99.83
