vehicle_id,vehicle_type,start_time,end_time,duration
bus2,bus,0,110,110
f_0.0,DEFAULT_VEHTYPE,0,177,177
f_0.1,DEFAULT_VEHTYPE,3,219,216
bus1,bus,0,229,229
f_0.2,DEFAULT_VEHTYPE,6,256,250
f_0.3,DEFAULT_VEHTYPE,9,258,249
f_0.4,DEFAULT_VEHTYPE,12,266,254
f_0.5,DEFAULT_VEHTYPE,15,310,295
f_0.6,DEFAULT_VEHTYPE,47,312,265
f_0.7,DEFAULT_VEHTYPE,50,346,296
f_0.8,DEFAULT_VEHTYPE,53,348,295
f_0.9,DEFAULT_VEHTYPE,56,352,296
f_0.10,DEFAULT_VEHTYPE,59,386,327
f_0.11,DEFAULT_VEHTYPE,89,389,300
f_0.12,DEFAULT_VEHTYPE,93,427,334
f_0.13,DEFAULT_VEHTYPE,96,428,332
f_0.14,DEFAULT_VEHTYPE,99,439,340
f_0.15,DEFAULT_VEHTYPE,102,444,342
f_0.16,DEFAULT_VEHTYPE,131,447,316
f_0.17,DEFAULT_VEHTYPE,135,449,314
f_0.18,DEFAULT_VEHTYPE,138,450,312
f_0.19,DEFAULT_VEHTYPE,141,452,311
f_0.20,DEFAULT_VEHTYPE,144,482,338
f_0.21,DEFAULT_VEHTYPE,174,484,310
f_0.22,DEFAULT_VEHTYPE,177,486,309
f_0.23,DEFAULT_VEHTYPE,180,494,314
f_0.24,DEFAULT_VEHTYPE,183,499,316
f_0.25,DEFAULT_VEHTYPE,186,500,314
f_0.26,DEFAULT_VEHTYPE,189,529,340
