sim_time,vehicle_id,vehicle_type,tls_id,lane_id,position,speed,priority_granted,phase_index,note,actual_delay
14,f_0.0,DEFAULT_VEHTYPE,122804862,-13346560#0_0,8.990333048410168,15.84504777368717,yes,0,green granted after 8s,8
31,f_0.0,DEFAULT_VEHTYPE,GS_cluster_268162626_939854537,604060314#5_0,70.85883264244129,0.0009356151800909236,yes,4,green granted after 8s,8
49,bus2,bus,cluster_11693099831_444570416_6840545825_7059565461,13448799#8_0,43.25891373951436,0.0,yes,4,green granted after 8s,8
54,f_0.3,DEFAULT_VEHTYPE,122804862,-13346560#0_0,3.056743216476079,15.25753130364652,yes,0,green granted after 8s,8
72,f_0.3,DEFAULT_VEHTYPE,GS_cluster_268162626_939854537,604060314#5_0,63.35770370619247,0.0004175056966868968,yes,4,green granted after 8s,8
78,f_0.0,DEFAULT_VEHTYPE,122960160,13345308#14_0,11.718917422662857,0.0,yes,2,green granted after 8s,8
94,bus2,bus,cluster_11693099831_444570416_6840545825_7059565461,13448799#8_0,37.150626913024865,7.836361183365806,yes,4,green granted after 8s,8
96,f_0.8,DEFAULT_VEHTYPE,122804862,-13346560#0_0,75.95693006210966,13.91202050216332,yes,0,green granted after 8s,8
114,f_0.7,DEFAULT_VEHTYPE,GS_cluster_268162626_939854537,604060314#5_0,70.85890131252545,0.00012038765877784697,yes,4,green granted after 8s,8
119,f_0.2,DEFAULT_VEHTYPE,122960160,13345308#14_0,48.94745309178636,14.296649280091398,yes,2,green granted after 8s,8
128,bus1,bus,cluster_322079583_7059565429_7059565430_7059565458,755844263_0,23.48968310152772,8.989041779444657,yes,0,green granted after 8s,8
138,f_0.13,DEFAULT_VEHTYPE,122804862,-13346560#0_0,4.1125157638745975,17.434616841729024,yes,0,green granted after 8s,8
154,f_0.12,DEFAULT_VEHTYPE,GS_cluster_268162626_939854537,604060314#5_0,70.85683939046926,0.005797565301837111,yes,4,green granted after 8s,8
161,f_0.2,DEFAULT_VEHTYPE,122960160,-604060313_0,73.99841546915418,11.391687359200928,yes,0,green granted after 8s,8
171,bus1,bus,cluster_122966911_7059565450,755844261#0_0,30.858983532504727,0.0,yes,0,green granted after 8s,8
180,f_0.18,DEFAULT_VEHTYPE,122804862,-13346560#0_0,73.93642842984117,14.187250055527056,yes,0,green granted after 8s,8
192,f_0.1,DEFAULT_VEHTYPE,5703666296,-1194285985#1_0,2.9359854334096234,14.625271752347686,yes,0,green granted after 8s,8
198,f_0.17,DEFAULT_VEHTYPE,GS_cluster_268162626_939854537,604060314#5_0,70.85872744177128,0.0004244558408410606,yes,4,green granted after 8s,8
205,f_0.9,DEFAULT_VEHTYPE,122960160,13345308#14_0,4.340205411375084,6.1844589378178725,yes,2,green granted after 8s,8
206,bus1,bus,GS_cluster_7059565448_7059565449_7464757604_939854561,755844260#0_0,24.968989159532562,0.0,yes,4,green granted after 8s,8
220,f_0.23,DEFAULT_VEHTYPE,122804862,-13346560#0_0,63.77830373994262,13.215389877618996,yes,0,green granted after 8s,8
234,f_0.3,DEFAULT_VEHTYPE,5703666296,-1194285985#1_0,16.912466715374926,15.125933578256147,yes,0,green granted after 8s,8
241,f_0.23,DEFAULT_VEHTYPE,GS_cluster_268162626_939854537,604060314#5_0,70.8588953563001,0.0,yes,4,green granted after 8s,8
247,f_0.14,DEFAULT_VEHTYPE,122960160,13345308#14_0,11.718905570388186,0.0,yes,2,green granted after 8s,8
263,f_0.29,DEFAULT_VEHTYPE,122804862,-13346560#0_0,66.9221475420607,14.228409081690273,yes,0,green granted after 8s,8
279,f_0.5,DEFAULT_VEHTYPE,5703666296,-1194285985#1_0,7.087386475517706,12.23820876518134,yes,0,green granted after 8s,8
283,f_0.29,DEFAULT_VEHTYPE,GS_cluster_268162626_939854537,604060314#5_0,70.85872964880768,0.0006377067505621762,yes,4,green granted after 8s,8
291,f_0.18,DEFAULT_VEHTYPE,122960160,13345308#14_0,11.71892113161623,0.0,yes,2,green granted after 8s,8
303,f_0.11,DEFAULT_VEHTYPE,122804862,604060313_0,70.73480148867213,0.0,yes,0,green granted after 8s,8
321,f_0.8,DEFAULT_VEHTYPE,5703666296,-1194285985#1_0,20.118490341853864,13.748808243356853,yes,0,green granted after 8s,8
330,f_0.38,DEFAULT_VEHTYPE,GS_cluster_268162626_939854537,604060314#5_0,70.85895042009119,0.0,yes,4,green granted after 8s,8
332,f_0.17,DEFAULT_VEHTYPE,122960160,-604060313_0,93.16861892968667,0.2270000083700395,yes,0,green granted after 8s,8
343,f_0.13,DEFAULT_VEHTYPE,122804862,604060313_0,86.18975421446096,2.663614708540819,yes,0,green granted after 8s,8
363,f_0.10,DEFAULT_VEHTYPE,5703666296,-1194285985#1_0,5.1257206838711475,16.734988311259077,yes,0,green granted after 8s,8
370,f_0.51,DEFAULT_VEHTYPE,GS_cluster_268162626_939854537,604060314#5_0,18.865398794906895,12.64816619561577,yes,4,green granted after 8s,8
372,f_0.21,DEFAULT_VEHTYPE,122960160,-604060313_0,39.98733865514634,1.7707835479752272,yes,0,green granted after 8s,8
386,f_0.25,DEFAULT_VEHTYPE,122804862,604060313_0,63.90386191539174,0.6701525510346243,yes,0,green granted after 8s,8
405,f_0.13,DEFAULT_VEHTYPE,5703666296,-1194285985#1_0,6.100089708475899,16.80815329393372,yes,0,green granted after 8s,8
410,f_0.56,DEFAULT_VEHTYPE,GS_cluster_268162626_939854537,604060314#5_0,70.85845321299034,0.0006387464759759811,yes,4,green granted after 8s,8
412,f_0.25,DEFAULT_VEHTYPE,122960160,-604060313_0,100.67816988989473,0.002288857379932545,yes,0,green granted after 8s,8
428,f_0.24,DEFAULT_VEHTYPE,122804862,604060313_0,11.136526336544549,11.966729343800731,yes,0,green granted after 8s,8
450,f_0.62,DEFAULT_VEHTYPE,GS_cluster_268162626_939854537,604060314#5_0,64.24960297940997,0.024370052011881,yes,4,green granted after 8s,8
456,f_0.34,DEFAULT_VEHTYPE,122960160,13345308#14_0,24.84458724583224,11.820886686542712,yes,2,green granted after 8s,8
457,f_0.20,DEFAULT_VEHTYPE,5703666296,-1194285985#1_0,7.8405511348590196,14.88031383126542,yes,0,green granted after 8s,8
468,f_0.29,DEFAULT_VEHTYPE,122804862,604060313_0,63.50347305888066,0.0,yes,0,green granted after 8s,8
496,f_0.66,DEFAULT_VEHTYPE,GS_cluster_268162626_939854537,604060314#5_0,48.35581974459092,0.0,yes,4,green granted after 8s,8
502,f_0.39,DEFAULT_VEHTYPE,122960160,13345308#14_0,11.71891918338177,0.0,yes,2,green granted after 8s,8
513,f_0.32,DEFAULT_VEHTYPE,122804862,604060313_0,63.23369312561361,0.00038988512348766494,yes,0,green granted after 8s,8
