sim_time,vehicle_id,tls_id,lane_id,eta,speed,priority_granted,phase_index,note
0.05,bus1,N/A,-604060314#7_0,N/A,0.0,no,N/A,No TLS ahead
0.05,bus2,N/A,13448799#0_0,N/A,0.0,no,N/A,No TLS ahead
0.1,bus1,N/A,-604060314#7_0,N/A,0.06,no,N/A,No TLS ahead
0.1,bus2,N/A,13448799#0_0,N/A,0.06,no,N/A,No TLS ahead
0.15,bus1,N/A,-604060314#7_0,N/A,0.12,no,N/A,No TLS ahead
0.15,bus2,N/A,13448799#0_0,N/A,0.12,no,N/A,No TLS ahead
0.2,bus1,N/A,-604060314#7_0,N/A,0.18,no,N/A,No TLS ahead
0.2,bus2,N/A,13448799#0_0,N/A,0.17,no,N/A,No TLS ahead
0.25,bus1,N/A,-604060314#7_0,N/A,0.24,no,N/A,No TLS ahead
0.25,bus2,N/A,13448799#0_0,N/A,0.23,no,N/A,No TLS ahead
0.3,bus1,N/A,-604060314#7_0,N/A,0.3,no,N/A,No TLS ahead
0.3,bus2,N/A,13448799#0_0,N/A,0.29,no,N/A,No TLS ahead
0.35,bus1,N/A,-604060314#7_0,N/A,0.35,no,N/A,No TLS ahead
0.35,bus2,N/A,13448799#0_0,N/A,0.34,no,N/A,No TLS ahead
0.4,bus1,N/A,-604060314#7_0,N/A,0.41,no,N/A,No TLS ahead
0.4,bus2,N/A,13448799#0_0,N/A,0.4,no,N/A,No TLS ahead
0.45,bus1,N/A,-604060314#7_0,N/A,0.47,no,N/A,No TLS ahead
0.45,bus2,N/A,13448799#0_0,N/A,0.46,no,N/A,No TLS ahead
0.5,bus1,N/A,-604060314#7_0,N/A,0.52,no,N/A,No TLS ahead
0.5,bus2,N/A,13448799#0_0,N/A,0.51,no,N/A,No TLS ahead
0.55,bus1,N/A,-604060314#7_0,N/A,0.58,no,N/A,No TLS ahead
0.55,bus2,N/A,13448799#0_0,N/A,0.57,no,N/A,No TLS ahead
0.6,bus1,N/A,-604060314#7_0,N/A,0.64,no,N/A,No TLS ahead
0.6,bus2,N/A,13448799#0_0,N/A,0.62,no,N/A,No TLS ahead
0.65,bus1,N/A,-604060314#7_0,N/A,0.69,no,N/A,No TLS ahead
0.65,bus2,N/A,13448799#0_0,N/A,0.67,no,N/A,No TLS ahead
0.7,bus1,N/A,-604060314#7_0,N/A,0.74,no,N/A,No TLS ahead
0.7,bus2,N/A,13448799#0_0,N/A,0.72,no,N/A,No TLS ahead
0.75,bus1,N/A,-604060314#7_0,N/A,0.8,no,N/A,No TLS ahead
0.75,bus2,N/A,13448799#0_0,N/A,0.78,no,N/A,No TLS ahead
0.8,bus1,N/A,-604060314#7_0,N/A,0.85,no,N/A,No TLS ahead
0.8,bus2,N/A,13448799#0_0,N/A,0.83,no,N/A,No TLS ahead
0.85,bus1,N/A,-604060314#7_0,N/A,0.91,no,N/A,No TLS ahead
0.85,bus2,N/A,13448799#0_0,N/A,0.87,no,N/A,No TLS ahead
0.9,bus1,N/A,-604060314#7_0,N/A,0.95,no,N/A,No TLS ahead
0.9,bus2,N/A,13448799#0_0,N/A,0.92,no,N/A,No TLS ahead
0.95,bus1,N/A,-604060314#7_0,N/A,0.99,no,N/A,No TLS ahead
0.95,bus2,N/A,13448799#0_0,N/A,0.97,no,N/A,No TLS ahead
1.0,bus1,N/A,-604060314#7_0,N/A,1.05,no,N/A,No TLS ahead
1.0,bus2,N/A,13448799#0_0,N/A,1.01,no,N/A,No TLS ahead
1.05,bus1,N/A,-604060314#7_0,N/A,1.09,no,N/A,No TLS ahead
1.05,bus2,N/A,13448799#0_0,N/A,1.06,no,N/A,No TLS ahead
1.1,bus1,N/A,-604060314#7_0,N/A,1.15,no,N/A,No TLS ahead
1.1,bus2,N/A,13448799#0_0,N/A,1.12,no,N/A,No TLS ahead
1.15,bus1,N/A,-604060314#7_0,N/A,1.2,no,N/A,No TLS ahead
1.15,bus2,N/A,13448799#0_0,N/A,1.17,no,N/A,No TLS ahead
1.2,bus1,N/A,-604060314#7_0,N/A,1.23,no,N/A,No TLS ahead
1.2,bus2,N/A,13448799#0_0,N/A,1.22,no,N/A,No TLS ahead
1.25,bus1,N/A,-604060314#7_0,N/A,1.28,no,N/A,No TLS ahead
1.25,bus2,N/A,13448799#0_0,N/A,1.26,no,N/A,No TLS ahead
1.3,bus1,N/A,-604060314#7_0,N/A,1.32,no,N/A,No TLS ahead
1.3,bus2,N/A,13448799#0_0,N/A,1.3,no,N/A,No TLS ahead
1.35,bus1,N/A,-604060314#7_0,N/A,1.37,no,N/A,No TLS ahead
1.35,bus2,N/A,13448799#0_0,N/A,1.36,no,N/A,No TLS ahead
1.4,bus1,N/A,-604060314#7_0,N/A,1.42,no,N/A,No TLS ahead
1.4,bus2,N/A,13448799#0_0,N/A,1.39,no,N/A,No TLS ahead
1.45,bus1,N/A,-604060314#7_0,N/A,1.47,no,N/A,No TLS ahead
1.45,bus2,N/A,13448799#0_0,N/A,1.43,no,N/A,No TLS ahead
1.5,bus1,N/A,-604060314#7_0,N/A,1.53,no,N/A,No TLS ahead
1.5,bus2,N/A,13448799#0_0,N/A,1.48,no,N/A,No TLS ahead
1.55,bus1,N/A,-604060314#7_0,N/A,1.58,no,N/A,No TLS ahead
1.55,bus2,N/A,13448799#0_0,N/A,1.52,no,N/A,No TLS ahead
1.6,bus1,N/A,-604060314#7_0,N/A,1.62,no,N/A,No TLS ahead
1.6,bus2,N/A,13448799#0_0,N/A,1.58,no,N/A,No TLS ahead
1.65,bus1,N/A,-604060314#7_0,N/A,1.67,no,N/A,No TLS ahead
1.65,bus2,N/A,13448799#0_0,N/A,1.61,no,N/A,No TLS ahead
1.7,bus1,N/A,-604060314#7_0,N/A,1.7,no,N/A,No TLS ahead
1.7,bus2,N/A,13448799#0_0,N/A,1.65,no,N/A,No TLS ahead
1.75,bus1,N/A,-604060314#7_0,N/A,1.74,no,N/A,No TLS ahead
1.75,bus2,N/A,13448799#0_0,N/A,1.69,no,N/A,No TLS ahead
1.8,bus1,N/A,-604060314#7_0,N/A,1.78,no,N/A,No TLS ahead
1.8,bus2,N/A,13448799#0_0,N/A,1.73,no,N/A,No TLS ahead
1.85,bus1,N/A,-604060314#7_0,N/A,1.83,no,N/A,No TLS ahead
1.85,bus2,N/A,13448799#0_0,N/A,1.77,no,N/A,No TLS ahead
1.9,bus1,N/A,-604060314#7_0,N/A,1.89,no,N/A,No TLS ahead
1.9,bus2,N/A,13448799#0_0,N/A,1.82,no,N/A,No TLS ahead
1.95,bus1,N/A,-604060314#7_0,N/A,1.92,no,N/A,No TLS ahead
1.95,bus2,N/A,13448799#0_0,N/A,1.86,no,N/A,No TLS ahead
2.0,bus1,N/A,-604060314#7_0,N/A,1.97,no,N/A,No TLS ahead
2.0,bus2,N/A,13448799#0_0,N/A,1.9,no,N/A,No TLS ahead
2.05,bus1,N/A,-604060314#7_0,N/A,2.01,no,N/A,No TLS ahead
2.05,bus2,N/A,13448799#0_0,N/A,1.93,no,N/A,No TLS ahead
2.1,bus1,N/A,-604060314#7_0,N/A,2.04,no,N/A,No TLS ahead
2.1,bus2,N/A,13448799#0_0,N/A,1.98,no,N/A,No TLS ahead
2.15,bus1,N/A,-604060314#7_0,N/A,2.1,no,N/A,No TLS ahead
2.15,bus2,N/A,13448799#0_0,N/A,2.02,no,N/A,No TLS ahead
2.2,bus1,N/A,-604060314#7_0,N/A,2.14,no,N/A,No TLS ahead
2.2,bus2,N/A,13448799#0_0,N/A,2.07,no,N/A,No TLS ahead
2.25,bus1,N/A,-604060314#7_0,N/A,2.17,no,N/A,No TLS ahead
2.25,bus2,N/A,13448799#0_0,N/A,2.12,no,N/A,No TLS ahead
2.3,bus1,N/A,-604060314#7_0,N/A,2.22,no,N/A,No TLS ahead
2.3,bus2,N/A,13448799#0_0,N/A,2.16,no,N/A,No TLS ahead
2.35,bus1,N/A,-604060314#7_0,N/A,2.27,no,N/A,No TLS ahead
2.35,bus2,N/A,13448799#0_0,N/A,2.2,no,N/A,No TLS ahead
2.4,bus1,N/A,-604060314#7_0,N/A,2.3,no,N/A,No TLS ahead
2.4,bus2,N/A,13448799#0_0,N/A,2.24,no,N/A,No TLS ahead
2.45,bus1,N/A,-604060314#7_0,N/A,2.33,no,N/A,No TLS ahead
2.45,bus2,N/A,13448799#0_0,N/A,2.28,no,N/A,No TLS ahead
2.5,bus1,N/A,-604060314#7_0,N/A,2.39,no,N/A,No TLS ahead
2.5,bus2,N/A,13448799#0_0,N/A,2.34,no,N/A,No TLS ahead
2.55,bus1,N/A,-604060314#7_0,N/A,2.45,no,N/A,No TLS ahead
2.55,bus2,N/A,13448799#0_0,N/A,2.39,no,N/A,No TLS ahead
2.6,bus1,N/A,-604060314#7_0,N/A,2.5,no,N/A,No TLS ahead
2.6,bus2,N/A,13448799#0_0,N/A,2.43,no,N/A,No TLS ahead
2.65,bus1,N/A,-604060314#7_0,N/A,2.54,no,N/A,No TLS ahead
2.65,bus2,N/A,13448799#0_0,N/A,2.48,no,N/A,No TLS ahead
2.7,bus1,N/A,-604060314#7_0,N/A,2.58,no,N/A,No TLS ahead
2.7,bus2,N/A,13448799#0_0,N/A,2.52,no,N/A,No TLS ahead
2.75,bus1,N/A,-604060314#7_0,N/A,2.64,no,N/A,No TLS ahead
2.75,bus2,N/A,13448799#0_0,N/A,2.55,no,N/A,No TLS ahead
2.8,bus1,N/A,-604060314#7_0,N/A,2.68,no,N/A,No TLS ahead
2.8,bus2,N/A,13448799#0_0,N/A,2.61,no,N/A,No TLS ahead
2.85,bus1,N/A,-604060314#7_0,N/A,2.73,no,N/A,No TLS ahead
2.85,bus2,N/A,13448799#0_0,N/A,2.64,no,N/A,No TLS ahead
2.9,bus1,N/A,-604060314#7_0,N/A,2.79,no,N/A,No TLS ahead
2.9,bus2,N/A,13448799#0_0,N/A,2.7,no,N/A,No TLS ahead
2.95,bus1,N/A,-604060314#7_0,N/A,2.83,no,N/A,No TLS ahead
2.95,bus2,N/A,13448799#0_0,N/A,2.73,no,N/A,No TLS ahead
3.0,bus1,N/A,-604060314#7_0,N/A,2.87,no,N/A,No TLS ahead
3.0,bus2,N/A,13448799#0_0,N/A,2.78,no,N/A,No TLS ahead
3.05,bus1,N/A,-604060314#7_0,N/A,2.93,no,N/A,No TLS ahead
3.05,bus2,N/A,13448799#0_0,N/A,2.81,no,N/A,No TLS ahead
3.1,bus1,N/A,-604060314#7_0,N/A,2.98,no,N/A,No TLS ahead
3.1,bus2,N/A,13448799#0_0,N/A,2.86,no,N/A,No TLS ahead
3.15,bus1,N/A,-604060314#7_0,N/A,3.03,no,N/A,No TLS ahead
3.15,bus2,N/A,13448799#0_0,N/A,2.9,no,N/A,No TLS ahead
3.2,bus1,N/A,-604060314#7_0,N/A,3.06,no,N/A,No TLS ahead
3.2,bus2,N/A,13448799#0_0,N/A,2.94,no,N/A,No TLS ahead
3.25,bus1,N/A,-604060314#7_0,N/A,3.11,no,N/A,No TLS ahead
3.25,bus2,N/A,13448799#0_0,N/A,3.0,no,N/A,No TLS ahead
3.3,bus1,N/A,-604060314#7_0,N/A,3.17,no,N/A,No TLS ahead
3.3,bus2,N/A,13448799#0_0,N/A,3.03,no,N/A,No TLS ahead
3.35,bus1,N/A,-604060314#7_0,N/A,3.21,no,N/A,No TLS ahead
3.35,bus2,N/A,13448799#0_0,N/A,3.07,no,N/A,No TLS ahead
3.4,bus1,N/A,-604060314#7_0,N/A,3.25,no,N/A,No TLS ahead
3.4,bus2,N/A,13448799#0_0,N/A,3.13,no,N/A,No TLS ahead
3.45,bus1,N/A,-604060314#7_0,N/A,3.29,no,N/A,No TLS ahead
3.45,bus2,N/A,13448799#0_0,N/A,3.19,no,N/A,No TLS ahead
3.5,bus1,N/A,-604060314#7_0,N/A,3.33,no,N/A,No TLS ahead
3.5,bus2,N/A,13448799#0_0,N/A,3.23,no,N/A,No TLS ahead
3.55,bus1,N/A,-604060314#7_0,N/A,3.37,no,N/A,No TLS ahead
3.55,bus2,N/A,13448799#0_0,N/A,3.29,no,N/A,No TLS ahead
3.6,bus1,N/A,-604060314#7_0,N/A,3.42,no,N/A,No TLS ahead
3.6,bus2,N/A,13448799#0_0,N/A,3.34,no,N/A,No TLS ahead
3.65,bus1,N/A,-604060314#7_0,N/A,3.46,no,N/A,No TLS ahead
3.65,bus2,N/A,13448799#0_0,N/A,3.4,no,N/A,No TLS ahead
3.7,bus1,N/A,-604060314#7_0,N/A,3.51,no,N/A,No TLS ahead
3.7,bus2,N/A,13448799#0_0,N/A,3.43,no,N/A,No TLS ahead
3.75,bus1,N/A,-604060314#7_0,N/A,3.54,no,N/A,No TLS ahead
3.75,bus2,N/A,13448799#0_0,N/A,3.47,no,N/A,No TLS ahead
3.8,bus1,N/A,-604060314#7_0,N/A,3.58,no,N/A,No TLS ahead
3.8,bus2,N/A,13448799#0_0,N/A,3.5,no,N/A,No TLS ahead
3.85,bus1,N/A,-604060314#7_0,N/A,3.62,no,N/A,No TLS ahead
3.85,bus2,N/A,13448799#0_0,N/A,3.54,no,N/A,No TLS ahead
3.9,bus1,N/A,-604060314#7_0,N/A,3.67,no,N/A,No TLS ahead
3.9,bus2,N/A,13448799#0_0,N/A,3.58,no,N/A,No TLS ahead
3.95,bus1,N/A,-604060314#7_0,N/A,3.7,no,N/A,No TLS ahead
3.95,bus2,N/A,13448799#0_0,N/A,3.61,no,N/A,No TLS ahead
4.0,bus1,N/A,-604060314#7_0,N/A,3.75,no,N/A,No TLS ahead
4.0,bus2,N/A,13448799#0_0,N/A,3.67,no,N/A,No TLS ahead
4.05,bus1,N/A,-604060314#7_0,N/A,3.78,no,N/A,No TLS ahead
4.05,bus2,N/A,13448799#0_0,N/A,3.7,no,N/A,No TLS ahead
4.1,bus1,N/A,-604060314#7_0,N/A,3.83,no,N/A,No TLS ahead
4.1,bus2,N/A,13448799#0_0,N/A,3.75,no,N/A,No TLS ahead
4.15,bus1,N/A,-604060314#7_0,N/A,3.88,no,N/A,No TLS ahead
4.15,bus2,N/A,13448799#0_0,N/A,3.8,no,N/A,No TLS ahead
4.2,bus1,N/A,-604060314#7_0,N/A,3.94,no,N/A,No TLS ahead
4.2,bus2,N/A,13448799#0_0,N/A,3.85,no,N/A,No TLS ahead
4.25,bus1,N/A,-604060314#7_0,N/A,3.97,no,N/A,No TLS ahead
4.25,bus2,N/A,13448799#0_0,N/A,3.9,no,N/A,No TLS ahead
4.3,bus1,N/A,-604060314#7_0,N/A,4.01,no,N/A,No TLS ahead
4.3,bus2,N/A,13448799#0_0,N/A,3.95,no,N/A,No TLS ahead
4.35,bus1,N/A,-604060314#7_0,N/A,4.04,no,N/A,No TLS ahead
4.35,bus2,N/A,13448799#0_0,N/A,3.99,no,N/A,No TLS ahead
4.4,bus1,N/A,-604060314#7_0,N/A,4.1,no,N/A,No TLS ahead
4.4,bus2,N/A,13448799#0_0,N/A,4.04,no,N/A,No TLS ahead
4.45,bus1,N/A,-604060314#7_0,N/A,4.14,no,N/A,No TLS ahead
4.45,bus2,N/A,13448799#0_0,N/A,4.1,no,N/A,No TLS ahead
4.5,bus1,N/A,-604060314#7_0,N/A,4.19,no,N/A,No TLS ahead
4.5,bus2,N/A,13448799#0_0,N/A,4.15,no,N/A,No TLS ahead
4.55,bus1,N/A,-604060314#7_0,N/A,4.23,no,N/A,No TLS ahead
4.55,bus2,N/A,13448799#0_0,N/A,4.19,no,N/A,No TLS ahead
4.6,bus1,N/A,-604060314#7_0,N/A,4.29,no,N/A,No TLS ahead
4.6,bus2,N/A,13448799#0_0,N/A,4.24,no,N/A,No TLS ahead
4.65,bus1,N/A,-604060314#7_0,N/A,4.35,no,N/A,No TLS ahead
4.65,bus2,N/A,13448799#0_0,N/A,4.27,no,N/A,No TLS ahead
4.7,bus1,N/A,-604060314#7_0,N/A,4.38,no,N/A,No TLS ahead
