sim_time,vehicle_id,tls_id,lane_id,eta,speed,priority_granted,phase_index,note
159.85,bus1,122830043,156415834#9_0,N/A,0.0,no,N/A,ETA unavailable
159.9,bus2,N/A,405356966_1,N/A,7.22,no,N/A,No TLS ahead
159.9,bus1,122830043,156415834#9_0,N/A,0.0,no,N/A,ETA unavailable
159.95,bus2,N/A,405356966_1,N/A,7.26,no,N/A,No TLS ahead
159.95,bus1,122830043,156415834#9_0,N/A,0.0,no,N/A,ETA unavailable
160.0,bus2,N/A,405356966_1,N/A,7.3,no,N/A,No TLS ahead
160.0,bus1,122830043,156415834#9_0,N/A,0.0,no,N/A,ETA unavailable
160.05,bus2,N/A,405356966_1,N/A,7.35,no,N/A,No TLS ahead
160.05,bus1,122830043,156415834#9_0,N/A,0.0,no,N/A,ETA unavailable
160.1,bus2,N/A,405356966_1,N/A,7.41,no,N/A,No TLS ahead
160.1,bus1,122830043,156415834#9_0,N/A,0.0,no,N/A,ETA unavailable
160.15,bus2,N/A,405356966_1,N/A,7.45,no,N/A,No TLS ahead
160.15,bus1,122830043,156415834#9_0,N/A,0.0,no,N/A,ETA unavailable
160.2,bus2,N/A,405356966_1,N/A,7.51,no,N/A,No TLS ahead
160.2,bus1,122830043,156415834#9_0,N/A,0.0,no,N/A,ETA unavailable
160.25,bus2,N/A,405356966_1,N/A,7.55,no,N/A,No TLS ahead
160.25,bus1,122830043,156415834#9_0,N/A,0.01,no,N/A,ETA unavailable
160.3,bus2,N/A,405356966_1,N/A,7.59,no,N/A,No TLS ahead
160.3,bus1,122830043,156415834#9_0,N/A,0.01,no,N/A,ETA unavailable
160.35,bus2,N/A,405356966_1,N/A,7.63,no,N/A,No TLS ahead
160.35,bus1,122830043,156415834#9_0,N/A,0.01,no,N/A,ETA unavailable
160.4,bus2,N/A,405356966_1,N/A,7.68,no,N/A,No TLS ahead
160.4,bus1,122830043,156415834#9_0,N/A,0.01,no,N/A,ETA unavailable
160.45,bus2,N/A,405356966_1,N/A,7.73,no,N/A,No TLS ahead
160.45,bus1,122830043,156415834#9_0,N/A,0.01,no,N/A,ETA unavailable
160.5,bus2,N/A,405356966_1,N/A,7.76,no,N/A,No TLS ahead
160.5,bus1,122830043,156415834#9_0,N/A,0.02,no,N/A,ETA unavailable
160.55,bus2,N/A,405356966_1,N/A,7.79,no,N/A,No TLS ahead
160.55,bus1,122830043,156415834#9_0,N/A,0.02,no,N/A,ETA unavailable
160.6,bus2,N/A,405356966_1,N/A,7.85,no,N/A,No TLS ahead
160.6,bus1,122830043,156415834#9_0,N/A,0.02,no,N/A,ETA unavailable
160.65,bus2,N/A,405356966_1,N/A,7.89,no,N/A,No TLS ahead
160.65,bus1,122830043,156415834#9_0,N/A,0.03,no,N/A,ETA unavailable
160.7,bus2,N/A,405356966_1,N/A,7.93,no,N/A,No TLS ahead
160.7,bus1,122830043,156415834#9_0,N/A,0.03,no,N/A,ETA unavailable
160.75,bus2,N/A,405356966_1,N/A,7.96,no,N/A,No TLS ahead
