sim_time,vehicle_id,vehicle_type,tls_id,lane_id,position_marker,actual_position,speed
0,bus1,bus,N/A,-405356692_0,middle,12.1,0.0
0,bus4,bus,N/A,-405356845#1_0,end,12.1,0.0
1,bus4,bus,N/A,:5555441671_0_0,start,0.86,1.0800162616185844
1,car2.0,DEFAULT_VEHTYPE,N/A,405373637_0,middle,7.35,2.248031110316515
2,bus4,bus,N/A,:5555441671_0_1,middle,2.86,1.9997857893817126
2,car1.0,DEFAULT_VEHTYPE,N/A,-203028825#3_0,middle,11.22,3.730403135786764
3,bus4,bus,N/A,:5555441671_0_1,end,5.85,2.9889291934669013
3,car2.0,DEFAULT_VEHTYPE,N/A,:4075790107_0_0,middle,3.77,6.059408805938439
4,car1.0,DEFAULT_VEHTYPE,N/A,:6726687152_4_0,start,0.95,7.611864669551141
5,bus4,bus,N/A,-405356845#0_1,end,7.47,4.428769162762909
5,car1.0,DEFAULT_VEHTYPE,N/A,-203028825#2_0,start,0.6,9.053553339256906
5,car2.0,DEFAULT_VEHTYPE,N/A,405373617_0,end,13.42,9.813068761047907
6,car1.0,DEFAULT_VEHTYPE,N/A,:6735592918_4_0,start,0.54,11.385539811337367
6,car5.0,DEFAULT_VEHTYPE,N/A,-17199609#0_0,start,0.67,10.788056361768398
8,bus4,bus,N/A,629470694#1_1,start,0.34,6.8638731527142225
8,car1.0,DEFAULT_VEHTYPE,N/A,-203028825#1_0,end,20.75,16.00551472499501
8,car2.1,DEFAULT_VEHTYPE,N/A,405373637_0,end,13.79,4.318182151904329
8,car3.0,DEFAULT_VEHTYPE,N/A,13403804#0_0,middle,71.77,13.56334916296205
9,car1.0,DEFAULT_VEHTYPE,N/A,:123004725_5_1,end,12.94,13.649703930413338
9,car1.1,DEFAULT_VEHTYPE,N/A,:6726687152_4_0,start,0.5,7.838153160572983
10,car1.1,DEFAULT_VEHTYPE,N/A,-203028825#2_0,start,0.77,9.671211925754323
10,car2.1,DEFAULT_VEHTYPE,N/A,405373617_0,middle,6.97,8.983967032306827
10,car2.2,DEFAULT_VEHTYPE,N/A,405373637_0,middle,6.92,1.8241995627526193
10,car5.0,DEFAULT_VEHTYPE,N/A,-405356772_0,start,0.57,18.021745475148787
11,car1.1,DEFAULT_VEHTYPE,N/A,:6735592918_4_0,start,0.81,11.486027956218457
11,car4.0,DEFAULT_VEHTYPE,N/A,13420705#2_0,middle,22.93,15.818813809545478
12,car2.1,DEFAULT_VEHTYPE,N/A,405373615_0,start,0.93,12.518145941174588
13,bus2,bus,N/A,:122574914_1_0,start,0.97,11.426238826615734
13,bus3,bus,N/A,1036516251_1,middle,6.14,12.587842776998873
13,bus4,bus,N/A,629470693#0_1,middle,1.38,11.648938814504069
13,car1.1,DEFAULT_VEHTYPE,N/A,:123004725_5_0,start,0.05,16.197050581023547
13,car1.2,DEFAULT_VEHTYPE,N/A,:6726687152_4_0,start,0.77,7.786608933401294
13,car2.1,DEFAULT_VEHTYPE,N/A,:4075790106_0_0,middle,4.25,14.204093123599884
14,bus3,bus,N/A,:4075351389_2_1,end,8.09,13.29671579995192
14,car1.1,DEFAULT_VEHTYPE,N/A,-203028825#0_0,start,0.19,14.087232870749745
14,car1.1,DEFAULT_VEHTYPE,N/A,-203028825#0_0,middle,0.19,14.087232870749745
14,car1.1,DEFAULT_VEHTYPE,N/A,-203028825#0_0,end,0.19,14.087232870749745
14,car1.2,DEFAULT_VEHTYPE,N/A,-203028825#2_0,start,0.88,9.511703860852869
14,car2.0,DEFAULT_VEHTYPE,N/A,:4075599917_0_0,start,0.53,16.275182727980887
14,car4.1,DEFAULT_VEHTYPE,N/A,13420705#2_0,start,0.44,18.14776323424655
14,car5.1,DEFAULT_VEHTYPE,N/A,-17199609#0_0,end,49.36,16.44265711183217
14,car5.2,DEFAULT_VEHTYPE,N/A,:123527080_0_0,end,13.58,11.999794684071093
15,bus4,bus,N/A,629470692_1,start,0.81,13.232164720259602
15,car1.1,DEFAULT_VEHTYPE,N/A,-405356692_1,start,1.0,9.587232870749745
15,car1.2,DEFAULT_VEHTYPE,N/A,:6735592918_4_0,start,0.31,10.87098376378417
15,car2.3,DEFAULT_VEHTYPE,N/A,405373637_0,middle,7.46,2.3587343213381247
15,car6.1,DEFAULT_VEHTYPE,N/A,405328953#2_0,end,55.1,13.418812846000113
15,car6.2,DEFAULT_VEHTYPE,N/A,:cluster_11991155142_7217581218_1_0,end,16.15,11.888015684744694
16,bus1,bus,N/A,-405356692_0,end,24.01,0.7603466426488013
16,bus4,bus,N/A,629470692_1,middle,11.09,10.281822045161707
16,car1.0,DEFAULT_VEHTYPE,N/A,:36635979_16_1,start,0.73,1.7660374561230303
16,car2.2,DEFAULT_VEHTYPE,N/A,405373615_0,end,10.47,14.360654181381687
16,car4.2,DEFAULT_VEHTYPE,N/A,:6734841144_3_0,start,0.88,13.862470343476161
17,car6.3,DEFAULT_VEHTYPE,N/A,405328953#0_0,middle,16.8,6.354357394529506
19,car1.1,DEFAULT_VEHTYPE,N/A,-405356692_1,end,23.85,4.817081663660048
19,car2.3,DEFAULT_VEHTYPE,N/A,:122865897_5_0,start,0.83,9.96924281117972
19,car2.4,DEFAULT_VEHTYPE,N/A,405373637_0,middle,7.63,2.533717652014457
20,bus5,bus,N/A,866531345-AddedOffRampEdge_2,start,0.33,18.401187923736863
20,car1.4,DEFAULT_VEHTYPE,N/A,-203028825#3_0,middle,11.68,4.022086055926048
20,car2.1,DEFAULT_VEHTYPE,N/A,:4075599917_0_0,start,0.54,15.273816896718293
20,car3.0,DEFAULT_VEHTYPE,N/A,:6735329280_6_0,start,0.98,13.64962149740918
20,car5.2,DEFAULT_VEHTYPE,N/A,-405356772_0,middle,8.19,3.607037169325668
20,car6.2,DEFAULT_VEHTYPE,N/A,:4075599928_0_0,middle,4.33,11.800654345474555
22,car1.3,DEFAULT_VEHTYPE,N/A,:123004725_5_0,start,1.0,14.608095249408596
22,car6.0,DEFAULT_VEHTYPE,N/A,:36635979_1_0,start,0.98,1.9786710266169498
22,car6.1,DEFAULT_VEHTYPE,N/A,:36635979_1_1,start,0.82,1.827430625406778
23,car1.0,DEFAULT_VEHTYPE,N/A,-405356693#2_1,middle,2.57,14.356697186399122
23,car1.1,DEFAULT_VEHTYPE,N/A,-405356685_1,middle,12.27,13.280430744567123
23,car1.3,DEFAULT_VEHTYPE,N/A,:4075599910_3_0,start,0.02,13.414472219688559
23,car3.2,DEFAULT_VEHTYPE,N/A,:122763218_15_0,start,0.62,9.814339399838484
23,car4.3,DEFAULT_VEHTYPE,N/A,:122857458_3_0,middle,4.3,17.950560553139077
24,bus2,bus,N/A,405373680#3_0,start,0.13,21.31849501635878
24,car1.0,DEFAULT_VEHTYPE,N/A,-405356693#1_1,middle,3.88,15.815136452192442
24,car1.1,DEFAULT_VEHTYPE,N/A,:852777109_3_1,start,0.66,13.808054018477273
24,car2.5,DEFAULT_VEHTYPE,N/A,405373637_0,middle,6.9,1.7995231783250347
24,car6.4,DEFAULT_VEHTYPE,N/A,:cluster_11991155142_7217581218_1_0,end,16.01,11.7811256259391
25,bus2,bus,N/A,405373680#3_0,middle,19.42,19.29031832213813
25,car1.5,DEFAULT_VEHTYPE,N/A,-203028825#3_0,middle,12.11,4.731836075428873
25,car2.0,DEFAULT_VEHTYPE,N/A,405356674#1_0,end,2.51,16.351313391002357
26,car2.0,DEFAULT_VEHTYPE,N/A,405356684#0_0,end,6.49,15.46522520484929
26,car2.2,DEFAULT_VEHTYPE,N/A,:4075599913_0_1,middle,4.45,19.26483271811385
26,car2.3,DEFAULT_VEHTYPE,N/A,405356682_0,start,0.77,19.518110010219345
26,car6.0,DEFAULT_VEHTYPE,N/A,405328958_0,start,0.14,9.579993340201337
26,car6.3,DEFAULT_VEHTYPE,N/A,:4075599928_0_0,end,8.17,10.935683268554195
26,car6.5,DEFAULT_VEHTYPE,N/A,405328953#0_0,middle,16.2,5.066067403950728
27,car1.5,DEFAULT_VEHTYPE,N/A,:6726687152_4_0,middle,5.02,9.179771913262085
27,car2.5,DEFAULT_VEHTYPE,N/A,405373617_0,start,0.05,6.938740219385363
27,car4.4,DEFAULT_VEHTYPE,N/A,:122857458_3_0,end,8.74,17.162119912506647
27,car5.0,DEFAULT_VEHTYPE,N/A,-405356782#0_0,end,9.49,11.719586488878464
28,bus1,bus,N/A,-405356693#1_0,start,0.97,11.43953953790478
28,car2.1,DEFAULT_VEHTYPE,N/A,:4075599912_0_0,middle,3.8,14.717537094721868
28,car2.6,DEFAULT_VEHTYPE,N/A,405373637_0,middle,7.51,2.4088535045972095
28,car3.1,DEFAULT_VEHTYPE,N/A,390794825#0_0,end,64.57,11.898253068001143
29,car1.5,DEFAULT_VEHTYPE,N/A,-203028825#1_0,start,0.41,13.876472212234512
29,car5.0,DEFAULT_VEHTYPE,N/A,:4075599881_0_0,end,9.05,2.7195864888784644
29,car5.5,DEFAULT_VEHTYPE,N/A,:123527080_0_0,end,14.42,10.78009569258429
29,car6.1,DEFAULT_VEHTYPE,N/A,71738721_1,start,0.82,13.120183759884716
29,car6.1,DEFAULT_VEHTYPE,N/A,71738721_1,middle,0.82,13.120183759884716
29,car6.5,DEFAULT_VEHTYPE,N/A,:cluster_11991155142_7217581218_1_0,middle,8.27,9.732212720648386
30,car2.3,DEFAULT_VEHTYPE,N/A,405356675_0,end,61.74,19.890282889484038
30,car3.2,DEFAULT_VEHTYPE,N/A,:6735329280_6_0,start,0.89,12.647276835516113
30,car4.5,DEFAULT_VEHTYPE,N/A,13420705#1_0,start,0.31,15.269731576857156
30,car5.0,DEFAULT_VEHTYPE,N/A,-405356776_0,start,0.02,0.20236342768418109
31,car2.5,DEFAULT_VEHTYPE,N/A,:4075790106_0_0,end,7.57,14.56799452113919
31,car5.0,DEFAULT_VEHTYPE,N/A,-405356776_0,middle,0.05,0.030301555125932158
