vehicle_id,vehicle_type,tls_id,wait_start_time,wait_end_time,wait_duration
bus1,bus,36635979,0,1,1
car3.0,DEFAULT_VEHTYPE,122763218,0,1,1
car3.1,DEFAULT_VEHTYPE,122763218,5,6,1
bus1,bus,36635979,6,16,10
car4.0,DEFAULT_VEHTYPE,123160850,15,18,3
car3.4,DEFAULT_VEHTYPE,122763218,18,19,1
car6.0,DEFAULT_VEHTYPE,36635979,19,21,2
car1.0,DEFAULT_VEHTYPE,36635979,15,25,10
car3.6,DEFAULT_VEHTYPE,122763218,27,28,1
car3.7,DEFAULT_VEHTYPE,122763218,32,33,1
car1.0,DEFAULT_VEHTYPE,852777135,31,35,4
car3.4,DEFAULT_VEHTYPE,122763218,35,37,2
car3.8,DEFAULT_VEHTYPE,122763218,36,37,1
bus4,bus,cluster_1832615131_4075599903_5942692697_5942692700,19,38,19
car1.4,DEFAULT_VEHTYPE,36635979,34,38,4
car2.1,DEFAULT_VEHTYPE,36635968,37,39,2
car1.2,DEFAULT_VEHTYPE,36635979,25,47,22
car1.3,DEFAULT_VEHTYPE,36635979,30,47,17
bus3,bus,16218739,20,49,29
car3.11,DEFAULT_VEHTYPE,122763218,50,51,1
bus2,bus,122574908,30,54,24
car3.12,DEFAULT_VEHTYPE,122763218,54,55,1
car6.5,DEFAULT_VEHTYPE,36635979,38,58,20
car6.6,DEFAULT_VEHTYPE,36635979,43,58,15
car6.7,DEFAULT_VEHTYPE,36635979,48,58,10
car6.8,DEFAULT_VEHTYPE,36635979,52,58,6
car6.9,DEFAULT_VEHTYPE,36635979,56,58,2
car3.13,DEFAULT_VEHTYPE,122763218,59,60,1
car1.1,DEFAULT_VEHTYPE,36635976,58,62,4
car3.10,DEFAULT_VEHTYPE,122763218,61,62,1
car3.9,DEFAULT_VEHTYPE,122763218,58,62,4
car2.2,DEFAULT_VEHTYPE,36635968,38,63,25
car4.10,DEFAULT_VEHTYPE,123160850,60,63,3
car4.3,DEFAULT_VEHTYPE,123160850,30,63,33
car4.4,DEFAULT_VEHTYPE,123160850,34,63,29
car4.5,DEFAULT_VEHTYPE,123160850,38,63,25
car4.6,DEFAULT_VEHTYPE,123160850,43,63,20
car4.7,DEFAULT_VEHTYPE,123160850,48,63,15
