vehicle_id,vehicle_type,tls_id,wait_start_time,wait_end_time,wait_duration
5,DEFAULT_VEHTYPE,123285305,10,11,1
t212-b15F99-sl4.0,bus,joinedS_cluster_122693381_1923921119_cluster_1923879157_4075433697,57,63,6
t1A9-b1601D-sl4.0,bus,123285305,67,74,7
t212-b15F99-sl4.0,bus,joinedS_cluster_122693381_1923921119_cluster_1923879157_4075433697,68,76,8
t1A9-b1601D-sl4.0,bus,123285305,81,82,1
12,DEFAULT_VEHTYPE,cluster_123168517_1923921139,49,87,38
4,DEFAULT_VEHTYPE,cluster_123168517_1923921139,34,104,70
5,DEFAULT_VEHTYPE,cluster_123168517_1923921139,46,112,66
15,DEFAULT_VEHTYPE,cluster_123566647_1923921203,113,114,1
21,DEFAULT_VEHTYPE,joinedS_cluster_122693381_1923921119_cluster_1923879157_4075433697,102,116,14
t212-b15F99-sl4.0,bus,cluster_123566647_1923921203,117,124,7
t1A9-b1601D-sl4.0,bus,cluster_123168517_1923921139,122,126,4
t212-b15F99-sl4.0,bus,cluster_123566647_1923921203,135,138,3
35,DEFAULT_VEHTYPE,cluster_123168517_1923921139,107,147,40
9,DEFAULT_VEHTYPE,cluster_123168517_1923921139,154,155,1
38,DEFAULT_VEHTYPE,GS_cluster_1923879138_1923921160_1923921168_1923921191,128,165,37
38,DEFAULT_VEHTYPE,joinedS_cluster_122693381_1923921119_cluster_1923879157_4075433697,171,175,4
43,DEFAULT_VEHTYPE,cluster_123168517_1923921139,144,176,32
47,DEFAULT_VEHTYPE,cluster_123168517_1923921139,166,190,24
t1A9-b1601D-sl4.0,bus,cluster_123566647_1923921203,181,191,10
9,DEFAULT_VEHTYPE,cluster_123168517_1923921139,161,193,32
t212-b15F99-sl4.0,bus,cluster_123168517_1923921139,190,200,10
29,DEFAULT_VEHTYPE,cluster_123168517_1923921139,228,233,5
t212-b15F99-sl4.0,bus,cluster_123168517_1923921139,205,233,28
68,DEFAULT_VEHTYPE,cluster_123168517_1923921139,246,252,6
44,DEFAULT_VEHTYPE,cluster_123168517_1923921139,227,254,27
94,DEFAULT_VEHTYPE,123285305,225,259,34
29,DEFAULT_VEHTYPE,123285305,262,263,1
89,DEFAULT_VEHTYPE,cluster_123168517_1923921139,222,271,49
70,DEFAULT_VEHTYPE,123285305,248,272,24
107,DEFAULT_VEHTYPE,cluster_123566647_1923921203,271,275,4
t1A9-b1601D-sl4.0,bus,GS_cluster_1923879138_1923921160_1923921168_1923921191,269,276,7
t212-b15F99-sl4.0,bus,123285305,272,278,6
65,DEFAULT_VEHTYPE,GS_cluster_122686792_1923879156,278,284,6
t212-b15F99-sl4.0,bus,123285305,284,287,3
66,DEFAULT_VEHTYPE,cluster_123168517_1923921139,258,291,33
77,DEFAULT_VEHTYPE,cluster_123168517_1923921139,261,291,30
93,DEFAULT_VEHTYPE,cluster_123168517_1923921139,282,291,9
63,DEFAULT_VEHTYPE,cluster_123168517_1923921139,259,303,44
106,DEFAULT_VEHTYPE,GS_cluster_122686792_1923879156,243,306,63
89,DEFAULT_VEHTYPE,cluster_123566647_1923921203,277,306,29
94,DEFAULT_VEHTYPE,cluster_123566647_1923921203,311,322,11
102,DEFAULT_VEHTYPE,cluster_123168517_1923921139,311,324,13
t212-b15F99-sl4.0,bus,123731751,320,327,7
118,DEFAULT_VEHTYPE,cluster_123168517_1923921139,305,330,25
