sim_time,vehicle_id,vehicle_type,tls_id,lane_id,position_marker,actual_position,speed
15,4,DEFAULT_VEHTYPE,N/A,-405337819_0,end,57.38,13.308749355049805
18,0,DEFAULT_VEHTYPE,N/A,13358248#0_0,end,194.84,3.484492854736902
19,0,DEFAULT_VEHTYPE,N/A,:123029658_11_0,start,0.29,2.5982048283154144
20,0,DEFAULT_VEHTYPE,N/A,:123029658_11_0,end,3.01,2.7102026718258863
21,3,DEFAULT_VEHTYPE,N/A,182050924#5_0,middle,55.97,15.030765160139904
26,3,DEFAULT_VEHTYPE,N/A,182050924#5_0,end,112.05,4.761533720931967
27,5,DEFAULT_VEHTYPE,N/A,47529158_1,start,0.01,16.295965611580087
28,3,DEFAULT_VEHTYPE,N/A,-13380841#2_0,start,0.24,8.208787990352414
29,1,DEFAULT_VEHTYPE,N/A,:123373337_5_0,start,0.98,3.3398664084506033
29,4,DEFAULT_VEHTYPE,N/A,405337851_0,middle,44.53,19.67925515363092
30,1,DEFAULT_VEHTYPE,N/A,:123373337_5_0,end,4.32,3.3469600176448746
30,11,DEFAULT_VEHTYPE,N/A,-13452845_0,end,62.81,5.3557162509877205
32,11,DEFAULT_VEHTYPE,N/A,:123322580_1_0,end,13.89,7.519087720666907
33,2,DEFAULT_VEHTYPE,N/A,13400963#1_0,start,0.06,12.796227716806106
36,11,DEFAULT_VEHTYPE,N/A,13399273#9_0,start,0.17,11.437102132178739
38,10,DEFAULT_VEHTYPE,N/A,13449584_0,end,204.69,4.307443570955471
38,7,DEFAULT_VEHTYPE,N/A,:122884515_9_0,middle,5.47,6.973793215355911
38,8,DEFAULT_VEHTYPE,N/A,:123285305_11_0,middle,2.58,6.102526723480741
41,12,DEFAULT_VEHTYPE,N/A,:cluster_122808622_1923921209_8_0,start,0.77,19.93433222465892
45,2,DEFAULT_VEHTYPE,N/A,13400963#1_0,end,145.7,4.274413106931718
46,2,DEFAULT_VEHTYPE,N/A,:123332652_6_0,middle,4.99,5.325787689488389
