sim_time,vehicle_id,vehicle_type,tls_id,lane_id,position,speed,priority_granted,phase_index,note,actual_delay
275,89,DEFAULT_VEHTYPE,cluster_123566647_1923921203,405337823_0,33.86378299273019,1.5530655917415803,yes,0,green granted after 3s,3
276,121,DEFAULT_VEHTYPE,GS_cluster_1923879138_1923921160_1923921168_1923921191,405337859#1_0,12.96840961077265,0.9173853792009449,yes,4,green granted after 3s,3
278,70,DEFAULT_VEHTYPE,cluster_123168517_1923921139,405337851_1,8.479636520009578,9.285569962674835,yes,0,green granted after 3s,3
280,67,DEFAULT_VEHTYPE,123285305,13407257#3_0,4.070645740484352,4.077547469428275,yes,2,green granted after 3s,3
284,29,DEFAULT_VEHTYPE,123731751,405337822_1,160.73661464173108,7.288899905372934,yes,0,green granted after 3s,3
287,26,DEFAULT_VEHTYPE,GS_cluster_122686792_1923879156,-405329950#1_0,7.836320401115634,7.429665708891944,yes,4,green granted after 3s,3
290,t212-b15F99-sl4.0,bus,123285305,405337831#1_0,7.1839909709299,3.365819580884442,yes,0,green granted after 3s,3
291,74,DEFAULT_VEHTYPE,cluster_123168517_1923921139,13399273#13_0,19.191914237801708,0.05526853890279767,yes,4,green granted after 3s,3
294,82,DEFAULT_VEHTYPE,cluster_123566647_1923921203,692908076#12_0,15.920533498461365,6.569077573274262,yes,4,green granted after 3s,3
301,93,DEFAULT_VEHTYPE,cluster_123168517_1923921139,13399273#13_0,15.130776721885356,8.97732525995739,yes,4,green granted after 3s,3
304,113,DEFAULT_VEHTYPE,123285305,13407257#3_0,3.6635308891304152,6.0781871255223,yes,2,green granted after 3s,3
306,94,DEFAULT_VEHTYPE,cluster_123566647_1923921203,405337823_0,26.762031682901597,0.424302281888335,yes,0,green granted after 3s,3
309,148,DEFAULT_VEHTYPE,123731751,-405337861#1_0,4.829552610725955,5.017560530216314,yes,0,green granted after 3s,3
309,114,DEFAULT_VEHTYPE,GS_cluster_122686792_1923879156,405336643#0_0,16.194905962820165,6.7897143697831766,yes,0,green granted after 3s,3
313,118,DEFAULT_VEHTYPE,cluster_123168517_1923921139,405337827_0,19.158039095786517,7.9781878133071595,yes,0,green granted after 3s,3
319,144,DEFAULT_VEHTYPE,123731751,405337822_1,1.4402718719312304,6.474829361050088,yes,0,green granted after 3s,3
322,104,DEFAULT_VEHTYPE,cluster_123566647_1923921203,405337823_0,26.743582745207924,1.4994545681407,yes,0,green granted after 3s,3
326,93,DEFAULT_VEHTYPE,123285305,405337831#1_0,55.50572782949699,4.63839185583809,yes,0,green granted after 3s,3
326,63,DEFAULT_VEHTYPE,joinedS_cluster_122693381_1923921119_cluster_1923879157_4075433697,405337862#2_1,4.357564607835457,10.895765307881806,yes,0,green granted after 3s,3
327,120,DEFAULT_VEHTYPE,cluster_123168517_1923921139,405337827_2,8.124206378984804,7.870664389873854,yes,2,green granted after 3s,3
