sim_time,vehicle_id,tls_id,lane_id,eta,speed,priority_granted,phase_index,note
2.05,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,N/A,0.0,no,N/A,ETA unavailable
2.1,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,N/A,0.05,no,N/A,ETA unavailable
2.15,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,N/A,0.1,no,N/A,ETA unavailable
2.2,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,878.56,0.15,no,N/A,ETA too high (878.6s)
2.25,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,666.12,0.19,no,N/A,ETA too high (666.1s)
2.3,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,541.11,0.24,no,N/A,ETA too high (541.1s)
2.35,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,450.74,0.28,no,N/A,ETA too high (450.7s)
2.4,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,386.56,0.33,no,N/A,ETA too high (386.6s)
2.45,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,344.02,0.37,no,N/A,ETA too high (344.0s)
2.5,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,308.13,0.41,no,N/A,ETA too high (308.1s)
2.55,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,277.4,0.46,no,N/A,ETA too high (277.4s)
2.6,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,256.47,0.5,no,N/A,ETA too high (256.5s)
2.65,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,237.81,0.54,no,N/A,ETA too high (237.8s)
2.7,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,222.4,0.57,no,N/A,ETA too high (222.4s)
2.75,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,207.88,0.61,no,N/A,ETA too high (207.9s)
2.8,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,194.47,0.66,no,N/A,ETA too high (194.5s)
2.85,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,180.68,0.71,no,N/A,ETA too high (180.7s)
2.9,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,171.44,0.74,no,N/A,ETA too high (171.4s)
2.95,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,161.89,0.79,no,N/A,ETA too high (161.9s)
3.0,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,154.66,0.82,no,N/A,ETA too high (154.7s)
3.05,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,147.3,0.86,no,N/A,ETA too high (147.3s)
3.05,t212-b15F99-sl4.0,N/A,405337852#0_0,N/A,0.0,no,N/A,No TLS ahead
3.1,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,142.01,0.9,no,N/A,ETA too high (142.0s)
3.1,t212-b15F99-sl4.0,N/A,405337852#0_0,N/A,0.05,no,N/A,No TLS ahead
3.15,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,134.98,0.94,no,N/A,ETA too high (135.0s)
3.15,t212-b15F99-sl4.0,N/A,405337852#0_0,N/A,0.1,no,N/A,No TLS ahead
3.2,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,130.27,0.98,no,N/A,ETA too high (130.3s)
3.2,t212-b15F99-sl4.0,N/A,405337852#0_0,N/A,0.15,no,N/A,No TLS ahead
3.25,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,125.48,1.01,no,N/A,ETA too high (125.5s)
3.25,t212-b15F99-sl4.0,N/A,405337852#0_0,N/A,0.2,no,N/A,No TLS ahead
3.3,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,120.09,1.06,no,N/A,ETA too high (120.1s)
3.3,t212-b15F99-sl4.0,N/A,405337852#0_0,N/A,0.24,no,N/A,No TLS ahead
3.35,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,116.44,1.09,no,N/A,ETA too high (116.4s)
3.35,t212-b15F99-sl4.0,N/A,405337852#0_0,N/A,0.29,no,N/A,No TLS ahead
3.4,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,113.6,1.12,no,N/A,ETA too high (113.6s)
3.4,t212-b15F99-sl4.0,N/A,405337852#0_0,N/A,0.33,no,N/A,No TLS ahead
3.45,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,110.79,1.14,no,N/A,ETA too high (110.8s)
3.45,t212-b15F99-sl4.0,N/A,405337852#0_0,N/A,0.38,no,N/A,No TLS ahead
3.5,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,107.13,1.18,no,N/A,ETA too high (107.1s)
3.5,t212-b15F99-sl4.0,N/A,405337852#0_0,N/A,0.42,no,N/A,No TLS ahead
3.55,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,103.45,1.23,no,N/A,ETA too high (103.5s)
3.55,t212-b15F99-sl4.0,N/A,405337852#0_0,N/A,0.47,no,N/A,No TLS ahead
3.6,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,100.61,1.26,no,N/A,ETA too high (100.6s)
3.6,t212-b15F99-sl4.0,N/A,405337852#0_0,N/A,0.52,no,N/A,No TLS ahead
3.65,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,98.1,1.29,no,N/A,ETA too high (98.1s)
3.65,t212-b15F99-sl4.0,N/A,405337852#0_0,N/A,0.56,no,N/A,No TLS ahead
3.7,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,95.53,1.32,no,N/A,ETA too high (95.5s)
3.7,t212-b15F99-sl4.0,N/A,405337852#0_0,N/A,0.6,no,N/A,No TLS ahead
3.75,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,93.38,1.35,no,N/A,ETA too high (93.4s)
3.75,t212-b15F99-sl4.0,N/A,405337852#0_0,N/A,0.65,no,N/A,No TLS ahead
3.8,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,90.83,1.39,no,N/A,ETA too high (90.8s)
3.8,t212-b15F99-sl4.0,N/A,405337852#0_0,N/A,0.69,no,N/A,No TLS ahead
3.85,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,88.4,1.43,no,N/A,ETA too high (88.4s)
3.85,t212-b15F99-sl4.0,N/A,405337852#0_0,N/A,0.74,no,N/A,No TLS ahead
3.9,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,85.68,1.47,no,N/A,ETA too high (85.7s)
3.9,t212-b15F99-sl4.0,N/A,405337852#0_0,N/A,0.78,no,N/A,No TLS ahead
3.95,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,83.32,1.51,no,N/A,ETA too high (83.3s)
3.95,t212-b15F99-sl4.0,N/A,405337852#0_0,N/A,0.81,no,N/A,No TLS ahead
4.0,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,81.87,1.54,no,N/A,ETA too high (81.9s)
4.0,t212-b15F99-sl4.0,N/A,405337852#0_0,N/A,0.86,no,N/A,No TLS ahead
4.05,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,80.34,1.57,no,N/A,ETA too high (80.3s)
4.05,t212-b15F99-sl4.0,N/A,405337852#0_0,N/A,0.89,no,N/A,No TLS ahead
4.1,t1A9-b1601D-sl4.0,123731751,-405337861#1_0,78.18,1.61,no,N/A,ETA too high (78.2s)
4.1,t212-b15F99-sl4.0,N/A,405337852#0_0,N/A,0.93,no,N/A,No TLS ahead
