sim_time,vehicle_id,vehicle_type,tls_id,lane_id,position_marker,actual_position,speed
2,car4.0,DEFAULT_VEHTYPE,N/A,1010391346#0_0,end,12.74,5.106942556728608
4,bus1,bus,N/A,:6731611121_3_0,start,0.62,3.5175017429050053
4,bus2,bus,N/A,406219014#0_0,middle,21.69,4.0203326073009515
5,bus1,bus,N/A,:6731611121_3_0,middle,4.96,4.343356207665056
5,car4.1,DEFAULT_VEHTYPE,N/A,1010391346#0_0,middle,6.76,1.66199706858024
6,bus1,bus,N/A,405543907#1_0,start,0.8,5.2534568017814305
8,bus2,bus,N/A,:123378427_3_0,middle,2.91,7.425327450642362
8,car4.0,DEFAULT_VEHTYPE,N/A,:cluster_6424676900_6731953238_12_0,middle,6.77,17.135574818588793
8,car4.1,DEFAULT_VEHTYPE,N/A,1010391346#1_0,start,0.49,7.158787431288509
9,car3.1,DEFAULT_VEHTYPE,N/A,:4723222325_3_1,start,0.78,9.920637122448534
9,car4.2,DEFAULT_VEHTYPE,N/A,1010391346#0_0,middle,6.52,1.4249889217317104
9,f_0.1,DEFAULT_VEHTYPE,N/A,405326229#0_0,start,0.24,9.806932620494626
10,bus1,bus,N/A,405543907#1_0,end,29.16,8.331789545109496
10,bus2,bus,N/A,:6098349330_13_0,middle,5.21,9.040952776372432
10,f_0.0,DEFAULT_VEHTYPE,N/A,405326295#2_1,start,0.74,20.133616246143358
11,car3.1,DEFAULT_VEHTYPE,N/A,:4723222322_3_1,end,8.83,13.60193749445025
11,car3.2,DEFAULT_VEHTYPE,N/A,308459799#0_1,middle,16.25,5.311755761387758
12,car4.0,DEFAULT_VEHTYPE,N/A,:7875681077_2_0,middle,4.33,22.351185214011473
12,car4.2,DEFAULT_VEHTYPE,N/A,1010391346#1_0,start,0.37,7.6243117994163185
12,f_0.2,DEFAULT_VEHTYPE,N/A,405326229#0_0,start,0.35,9.910373022861751
13,bus2,bus,N/A,13417734#3_0,start,0.29,11.976455035479736
13,car3.0,DEFAULT_VEHTYPE,N/A,:cluster_123170741_3137460779_10_0,start,0.03,11.417070771230266
13,car3.2,DEFAULT_VEHTYPE,N/A,:4723222325_3_1,start,0.7,9.41333537409082
13,car4.1,DEFAULT_VEHTYPE,N/A,:cluster_6424676900_6731953238_12_0,end,13.22,18.31829862918239
14,bus2,bus,N/A,:8474215212_6_0,middle,4.99,12.992620797269042
14,car2.0,DEFAULT_VEHTYPE,N/A,59712269_0,start,0.31,9.414323439083496
14,car3.1,DEFAULT_VEHTYPE,N/A,:4075330066_0_1,middle,3.86,13.140307605774769
15,car4.0,DEFAULT_VEHTYPE,N/A,-13399210#84_0,end,10.75,22.35047575759656
15,f_0.4,DEFAULT_VEHTYPE,N/A,405326237#0_0,middle,12.36,4.68844363403041
16,car2.1,DEFAULT_VEHTYPE,N/A,13323113#1_0,end,103.49,4.968978980403295
