sim_time,vehicle_id,vehicle_type,tls_id,lane_id,position_marker,actual_position,speed
13,bus,bus,N/A,:cluster_54667234_6133907625_6_0,start,0.94,10.947682757908478
28,bus,bus,N/A,643274772#0_0,end,80.24,0.9339757545758954
32,bus,bus,N/A,:cluster_54513042_6133907621_9_0,end,14.32,4.839275871394294
40,bus,bus,N/A,:54513043_0_0,start,0.64,12.80433057680735
41,bus,bus,N/A,:54513043_0_0,end,14.25,13.618258395921528
53,bus,bus,N/A,:4687606113_0_0,start,0.84,9.671914584496989
55,bus,bus,N/A,:4687606114_0_0,middle,4.08,11.300494515132156
63,bus,bus,N/A,:4687606112_0_0,middle,3.78,12.407278310544424
70,bus,bus,N/A,:54487384_5_0,start,0.18,1.1862774286127853
74,bus,bus,N/A,:54487384_5_0,end,13.46,4.569243564520702
