sim_time,vehicle_id,vehicle_type,tls_id,lane_id,position_marker,actual_position,speed
54,f_1.6,DEFAULT_VEHTYPE,N/A,406215639#0_3,start,0.15,6.287421515702761
55,f_0.10,DEFAULT_VEHTYPE,N/A,271237812#0_1,end,115.48,20.289078463823536
55,f_0.4,DEFAULT_VEHTYPE,N/A,:cluster_268162697_2761920568_1_1,middle,7.48,7.806941672382285
55,f_0.7,DEFAULT_VEHTYPE,N/A,406216735_1,start,0.73,27.486618547282504
55,f_1.11,DEFAULT_VEHTYPE,N/A,406215650_0,start,0.63,9.274884560797364
55,f_1.2,DEFAULT_VEHTYPE,N/A,1029507042_3,start,0.64,23.335183543463163
55,f_2.7,DEFAULT_VEHTYPE,N/A,755844260#0_0,start,0.37,11.295047967965306
56,f_0.6,DEFAULT_VEHTYPE,N/A,406216729_1,start,0.61,25.532999679067235
56,f_0.8,DEFAULT_VEHTYPE,N/A,1064346357_2,start,0.28,22.25122532018321
56,f_1.0,DEFAULT_VEHTYPE,N/A,:4083175943_0_2,middle,3.75,24.775382158622683
57,f_0.10,DEFAULT_VEHTYPE,N/A,:2761920560_0_2,start,0.33,24.228196327388293
57,f_0.7,DEFAULT_VEHTYPE,N/A,406216735_1,middle,56.06,27.943988681865246
57,f_0.8,DEFAULT_VEHTYPE,N/A,:2761920351_0_1,start,0.12,22.15153105245298
57,f_1.0,DEFAULT_VEHTYPE,N/A,:268162715_0_1,start,0.1,25.988331051051222
58,f_1.1,DEFAULT_VEHTYPE,N/A,406215647_3,end,21.17,28.195503166273998
58,f_1.12,DEFAULT_VEHTYPE,N/A,406215655_0,end,23.44,8.122258794587106
58,f_2.0,DEFAULT_VEHTYPE,N/A,1065518636#0_2,middle,15.64,12.17124203619499
59,f_0.7,DEFAULT_VEHTYPE,N/A,406216735_1,end,110.75,27.784729644983397
59,f_1.12,DEFAULT_VEHTYPE,N/A,406215650_1,start,0.89,10.560253371018916
59,f_1.3,DEFAULT_VEHTYPE,N/A,1029507042_3,end,18.83,28.067248747287575
59,f_1.5,DEFAULT_VEHTYPE,N/A,:268162729_12_0,end,29.49,12.845498101527879
59,f_1.8,DEFAULT_VEHTYPE,N/A,406215650_1,end,197.9,11.18626556223853
60,f_0.6,DEFAULT_VEHTYPE,N/A,:cluster_268162697_2761920568_1_1,middle,7.57,16.778802167360677
61,f_1.4,DEFAULT_VEHTYPE,N/A,:4083175941_0_3,middle,4.54,29.36834138800738
61,f_1.9,DEFAULT_VEHTYPE,N/A,406215650_1,end,198.45,11.919852182293731
61,t_0,bus,N/A,:5950715987_4_1,end,42.89,0.3572026007581282
62,f_0.10,DEFAULT_VEHTYPE,N/A,406216734_2,end,22.51,32.64091589246466
62,f_2.9,DEFAULT_VEHTYPE,N/A,755844274_0,end,224.76,12.299016610266161
63,f_0.9,DEFAULT_VEHTYPE,N/A,:2761920567_0_2,middle,3.73,25.46731879100123
63,f_1.11,DEFAULT_VEHTYPE,N/A,406215650_1,middle,99.83,13.171819877199672
63,f_1.13,DEFAULT_VEHTYPE,N/A,:36750787_2_0,start,0.83,7.808864985429681
63,f_2.9,DEFAULT_VEHTYPE,N/A,:7059565437_0_0,end,7.28,7.799016610266161
65,f_1.14,DEFAULT_VEHTYPE,N/A,406215655_0,middle,12.36,4.855658464529553
66,f_0.11,DEFAULT_VEHTYPE,N/A,:4083186358_0_2,start,0.76,31.412761945752145
66,f_2.10,DEFAULT_VEHTYPE,N/A,:7059565437_0_1,end,7.44,5.551244926453089
67,f_0.8,DEFAULT_VEHTYPE,N/A,406216735_1,end,110.65,22.81467983776564
67,f_1.14,DEFAULT_VEHTYPE,N/A,:36750787_2_0,middle,4.19,8.789134321454913
68,f_1.10,DEFAULT_VEHTYPE,N/A,690987758_2,end,38.24,8.498858060461746
69,f_1.2,DEFAULT_VEHTYPE,N/A,:4083175943_0_2,end,8.2,24.590001211811714
70,f_0.2,DEFAULT_VEHTYPE,N/A,406216724#0_1,end,373.85,28.26822769594999
70,f_0.9,DEFAULT_VEHTYPE,N/A,:2761920582_0_1,end,7.56,20.392866810012286
70,f_1.5,DEFAULT_VEHTYPE,N/A,:268162713_0_1,start,0.48,23.996956898495974
70,f_1.9,DEFAULT_VEHTYPE,N/A,:268162728_10_0,middle,12.89,7.097040929301175
70,f_2.0,DEFAULT_VEHTYPE,N/A,:4083329773_0_3,middle,3.18,13.182511352405266
71,f_0.1,DEFAULT_VEHTYPE,N/A,406215688_3,end,65.76,27.730001264364724
71,f_0.10,DEFAULT_VEHTYPE,N/A,406216735_1,end,110.67,23.156891085139787
71,f_0.12,DEFAULT_VEHTYPE,N/A,:4083186358_0_2,end,7.34,26.464148802389115
71,f_0.3,DEFAULT_VEHTYPE,N/A,406216724#0_0,end,373.76,23.584657408117753
71,f_1.8,DEFAULT_VEHTYPE,N/A,:268162729_12_0,middle,15.06,10.391328233579154
71,f_2.1,DEFAULT_VEHTYPE,N/A,:cluster_268161414_5950715985_3_2,end,43.42,9.981310754527376
71,f_2.11,DEFAULT_VEHTYPE,N/A,:7059565437_0_0,start,0.26,6.358194723106965
72,f_0.10,DEFAULT_VEHTYPE,N/A,:2761920582_0_2,middle,4.3,19.422337133383685
72,f_0.13,DEFAULT_VEHTYPE,N/A,406216738_2,start,0.36,23.808426626399164
72,f_1.4,DEFAULT_VEHTYPE,N/A,:268162715_0_2,start,0.62,29.087514475655198
72,f_2.2,DEFAULT_VEHTYPE,N/A,:123378443_3_2,end,13.39,11.607568643771982
72,t_0,bus,N/A,640278675_1,start,0.04,0.8434023674111812
72,t_0,bus,N/A,640278675_1,middle,0.04,0.8434023674111812
72,t_0,bus,N/A,640278675_1,end,0.04,0.8434023674111812
73,f_0.2,DEFAULT_VEHTYPE,N/A,:2761920333_0_1,end,8.32,28.775032578687163
73,f_1.6,DEFAULT_VEHTYPE,N/A,:4083175941_0_3,start,0.83,29.20751140740996
73,f_2.12,DEFAULT_VEHTYPE,N/A,755844274_1,end,225.13,7.822407755396895
74,f_2.1,DEFAULT_VEHTYPE,N/A,:123378443_3_2,middle,6.86,10.537695643028282
75,f_1.10,DEFAULT_VEHTYPE,N/A,:268162728_10_0,end,25.83,3.8858405216786305
75,f_2.1,DEFAULT_VEHTYPE,N/A,:4083329773_0_3,middle,3.57,10.642170042010994
76,f_0.11,DEFAULT_VEHTYPE,N/A,406216729_2,start,0.82,22.375961691112654
76,f_0.4,DEFAULT_VEHTYPE,N/A,:2761920333_0_1,end,8.74,22.67525936315073
