vehicle_id,vehicle_type,tls_id,wait_start_time,wait_end_time,wait_duration
f_2.0,DEFAULT_VEHTYPE,GS_cluster_7059565448_7059565449_7464757604_939854561,27,29,2
t_0,bus,GS_cluster_268161414_5950715985,36,40,4
f_0.2,DEFAULT_VEHTYPE,cluster_268162697_2761920568,44,49,5
f_2.10,DEFAULT_VEHTYPE,GS_cluster_7059565448_7059565449_7464757604_939854561,69,90,21
f_2.5,DEFAULT_VEHTYPE,GS_cluster_7059565448_7059565449_7464757604_939854561,49,90,41
f_2.6,DEFAULT_VEHTYPE,GS_cluster_7059565448_7059565449_7464757604_939854561,53,90,37
f_2.7,DEFAULT_VEHTYPE,GS_cluster_7059565448_7059565449_7464757604_939854561,59,90,31
f_2.8,DEFAULT_VEHTYPE,GS_cluster_7059565448_7059565449_7464757604_939854561,64,90,26
f_2.9,DEFAULT_VEHTYPE,GS_cluster_7059565448_7059565449_7464757604_939854561,65,90,25
f_0.11,DEFAULT_VEHTYPE,cluster_268162697_2761920568,84,105,21
f_0.12,DEFAULT_VEHTYPE,cluster_268162697_2761920568,90,105,15
f_0.13,DEFAULT_VEHTYPE,cluster_268162697_2761920568,97,105,8
f_0.14,DEFAULT_VEHTYPE,cluster_268162697_2761920568,97,105,8
f_0.15,DEFAULT_VEHTYPE,cluster_268162697_2761920568,102,105,3
f_0.9,DEFAULT_VEHTYPE,cluster_268162697_2761920568,77,105,28
f_2.3,DEFAULT_VEHTYPE,GS_cluster_7059565448_7059565449_7464757604_939854561,41,117,76
f_2.4,DEFAULT_VEHTYPE,GS_cluster_7059565448_7059565449_7464757604_939854561,45,122,77
f_2.3,DEFAULT_VEHTYPE,GS_cluster_268161414_5950715985,122,125,3
f_2.21,DEFAULT_VEHTYPE,GS_cluster_7059565448_7059565449_7464757604_939854561,123,163,40
f_2.22,DEFAULT_VEHTYPE,GS_cluster_7059565448_7059565449_7464757604_939854561,125,163,38
f_2.23,DEFAULT_VEHTYPE,GS_cluster_7059565448_7059565449_7464757604_939854561,129,163,34
f_2.24,DEFAULT_VEHTYPE,GS_cluster_7059565448_7059565449_7464757604_939854561,134,163,29
f_2.25,DEFAULT_VEHTYPE,GS_cluster_7059565448_7059565449_7464757604_939854561,138,163,25
f_2.26,DEFAULT_VEHTYPE,GS_cluster_7059565448_7059565449_7464757604_939854561,141,163,22
f_0.26,DEFAULT_VEHTYPE,cluster_268162697_2761920568,153,172,19
f_0.27,DEFAULT_VEHTYPE,cluster_268162697_2761920568,159,172,13
f_0.28,DEFAULT_VEHTYPE,cluster_268162697_2761920568,159,172,13
f_0.29,DEFAULT_VEHTYPE,cluster_268162697_2761920568,165,172,7
f_0.30,DEFAULT_VEHTYPE,cluster_268162697_2761920568,169,172,3
f_1.18,DEFAULT_VEHTYPE,cluster_268162697_2761920568,170,172,2
f_2.2,DEFAULT_VEHTYPE,GS_268161547,158,172,14
f_2.20,DEFAULT_VEHTYPE,GS_cluster_7059565448_7059565449_7464757604_939854561,116,190,74
f_2.19,DEFAULT_VEHTYPE,GS_cluster_7059565448_7059565449_7464757604_939854561,114,192,78
f_2.1,DEFAULT_VEHTYPE,cluster_1166628429_12503965554_268161337_268161552,190,199,9
f_2.17,DEFAULT_VEHTYPE,GS_cluster_268161414_5950715985,160,199,39
f_2.18,DEFAULT_VEHTYPE,GS_cluster_268161414_5950715985,161,199,38
f_2.19,DEFAULT_VEHTYPE,GS_cluster_268161414_5950715985,197,199,2
f_2.20,DEFAULT_VEHTYPE,GS_cluster_268161414_5950715985,194,199,5
f_2.39,DEFAULT_VEHTYPE,GS_cluster_7059565448_7059565449_7464757604_939854561,201,203,2
f_2.22,DEFAULT_VEHTYPE,GS_cluster_268161414_5950715985,203,204,1
f_2.41,DEFAULT_VEHTYPE,GS_cluster_7059565448_7059565449_7464757604_939854561,208,212,4
f_0.39,DEFAULT_VEHTYPE,cluster_268162697_2761920568,211,234,23
f_0.40,DEFAULT_VEHTYPE,cluster_268162697_2761920568,217,234,17
f_0.41,DEFAULT_VEHTYPE,cluster_268162697_2761920568,219,234,15
f_0.42,DEFAULT_VEHTYPE,cluster_268162697_2761920568,223,234,11
f_0.43,DEFAULT_VEHTYPE,cluster_268162697_2761920568,228,234,6
