vehicle_id,vehicle_type,start_time,end_time,duration
f_1.1,DEFAULT_VEHTYPE,5,92,87
f_1.0,DEFAULT_VEHTYPE,0,94,94
f_1.3,DEFAULT_VEHTYPE,14,118,104
f_1.4,DEFAULT_VEHTYPE,18,118,100
f_1.2,DEFAULT_VEHTYPE,9,120,111
f_1.6,DEFAULT_VEHTYPE,27,121,94
f_1.5,DEFAULT_VEHTYPE,23,123,100
f_1.7,DEFAULT_VEHTYPE,32,126,94
f_1.9,DEFAULT_VEHTYPE,41,127,86
f_1.10,DEFAULT_VEHTYPE,45,130,85
f_1.8,DEFAULT_VEHTYPE,36,135,99
f_1.12,DEFAULT_VEHTYPE,54,136,82
f_1.11,DEFAULT_VEHTYPE,50,139,89
f_0.0,DEFAULT_VEHTYPE,0,142,142
f_0.1,DEFAULT_VEHTYPE,5,144,139
f_1.13,DEFAULT_VEHTYPE,59,145,86
f_0.2,DEFAULT_VEHTYPE,9,147,138
f_1.14,DEFAULT_VEHTYPE,63,151,88
f_1.15,DEFAULT_VEHTYPE,68,159,91
f_0.3,DEFAULT_VEHTYPE,14,160,146
f_0.4,DEFAULT_VEHTYPE,18,162,144
f_0.5,DEFAULT_VEHTYPE,23,164,141
f_0.6,DEFAULT_VEHTYPE,27,166,139
f_0.7,DEFAULT_VEHTYPE,32,167,135
f_1.17,DEFAULT_VEHTYPE,77,185,108
f_1.16,DEFAULT_VEHTYPE,72,186,114
f_1.18,DEFAULT_VEHTYPE,81,187,106
f_1.19,DEFAULT_VEHTYPE,86,188,102
f_1.20,DEFAULT_VEHTYPE,90,189,99
f_1.21,DEFAULT_VEHTYPE,95,190,95
f_0.10,DEFAULT_VEHTYPE,45,192,147
f_1.23,DEFAULT_VEHTYPE,104,194,90
f_2.0,DEFAULT_VEHTYPE,0,195,195
f_0.11,DEFAULT_VEHTYPE,50,195,145
f_1.22,DEFAULT_VEHTYPE,99,196,97
f_1.24,DEFAULT_VEHTYPE,108,197,89
f_1.25,DEFAULT_VEHTYPE,113,201,88
f_1.26,DEFAULT_VEHTYPE,117,203,86
f_1.27,DEFAULT_VEHTYPE,122,213,91
f_1.28,DEFAULT_VEHTYPE,126,217,91
f_0.8,DEFAULT_VEHTYPE,36,219,183
f_0.12,DEFAULT_VEHTYPE,54,221,167
f_1.29,DEFAULT_VEHTYPE,131,221,90
f_0.9,DEFAULT_VEHTYPE,41,223,182
f_0.13,DEFAULT_VEHTYPE,59,225,166
f_0.14,DEFAULT_VEHTYPE,63,226,163
f_2.2,DEFAULT_VEHTYPE,9,228,219
f_0.15,DEFAULT_VEHTYPE,68,228,160
f_2.1,DEFAULT_VEHTYPE,5,234,229
