sim_time,vehicle_id,vehicle_type,tls_id,lane_id,position,speed,priority_granted,phase_index,note,actual_delay
675,f_0.136,DEFAULT_VEHTYPE,cluster_268162697_2761920568,406216725#0_2,111.86722041993082,22.50748816200024,yes,0,green granted after 8s,8
691,f_2.100,DEFAULT_VEHTYPE,GS_268161547,405546347#0_0,56.79370186674886,13.723188186479982,yes,0,green granted after 8s,8
704,f_2.137,DEFAULT_VEHTYPE,GS_cluster_7059565448_7059565449_7464757604_939854561,755844260#0_0,33.546710527841846,9.800584981076875,yes,4,green granted after 8s,8
733,f_2.131,DEFAULT_VEHTYPE,GS_cluster_268161414_5950715985,1065518636#0_0,8.233823154849887,12.807962857297339,yes,0,green granted after 8s,8
733,f_2.111,DEFAULT_VEHTYPE,1166628271,604060294_0,68.68795841148606,17.773898603281193,yes,0,green granted after 8s,8
756,f_2.104,DEFAULT_VEHTYPE,cluster_1166628429_12503965554_268161337_268161552,334631554#0_3,282.72896907956203,0.00037638788009860516,yes,0,green granted after 8s,8
763,f_2.95,DEFAULT_VEHTYPE,GS_268161547,405546347#0_0,68.23956370780087,17.337028314289636,yes,0,green granted after 8s,8
782,f_1.149,DEFAULT_VEHTYPE,cluster_268162697_2761920568,406215613#0_0,79.809241233517,19.454946793245618,yes,0,green granted after 8s,8
782,f_2.155,DEFAULT_VEHTYPE,GS_cluster_7059565448_7059565449_7464757604_939854561,755844260#0_0,29.525626889324535,10.672414410048079,yes,4,green granted after 8s,8
803,f_2.101,DEFAULT_VEHTYPE,1166628271,604060294_1,177.51750265866758,0.003519397389027049,yes,0,green granted after 8s,8
818,f_2.115,DEFAULT_VEHTYPE,cluster_1166628429_12503965554_268161337_268161552,334631554#0_0,282.7283747334426,0.0009091164055604197,yes,0,green granted after 8s,8
823,f_2.167,DEFAULT_VEHTYPE,GS_cluster_268161414_5950715985,1065518636#0_0,19.861010719346037,12.460421135514185,yes,0,green granted after 8s,8
844,f_0.172,DEFAULT_VEHTYPE,cluster_268162697_2761920568,406216725#0_1,96.2724667799861,18.47921261668106,yes,0,green granted after 8s,8
846,f_2.129,DEFAULT_VEHTYPE,GS_268161547,405546347#0_0,58.78861170456621,16.659346904768608,yes,0,green granted after 8s,8
