sim_time,vehicle_id,vehicle_type,tls_id,lane_id,position,speed,priority_granted,phase_index,note,actual_delay
13,t1B3-b2739-sl4.0,bus,GS_cluster_444570416_7059565461,755844281#0_0,42.600969809728525,0.029900752656242983,yes,0,green granted after 3s,3
25,t1B3-b2739-sl4.0,bus,GS_cluster_444570416_7059565461,755844281#0_0,47.09938823563684,2.2447568947682157,yes,0,green granted after 3s,3
27,1,DEFAULT_VEHTYPE,GS_cluster_123583539_939854594,-13435460#9_0,257.7677249558474,0.39838657738263034,yes,2,green granted after 3s,3
31,12,DEFAULT_VEHTYPE,122960160,599510795#3_0,52.40875450200401,11.839489571144803,yes,0,green granted after 3s,3
35,t1B3-b2739-sl4.0,bus,GS_cluster_444570416_7059565461,755844281#0_1,58.160160220965594,0.0,yes,0,green granted after 3s,3
41,12,DEFAULT_VEHTYPE,122804862,604060313_0,2.9021430760190157,5.948879774680714,yes,0,green granted after 3s,3
52,10,DEFAULT_VEHTYPE,123155447,405276988#6_0,0.7199879585506039,7.775841826190089,yes,4,green granted after 3s,3
62,23,DEFAULT_VEHTYPE,GS_cluster_444570416_7059565461,-1257699425#1_0,3.918626261280905,0.0018324618568208106,yes,4,green granted after 3s,3
62,4,DEFAULT_VEHTYPE,123155447,1063161984_0,18.318954488267774,7.32026742293965,yes,0,green granted after 3s,3
65,12,DEFAULT_VEHTYPE,cluster_268162626_7464757606_939854537,604060314#5_0,88.16072936208079,2.574158200710249,yes,2,green granted after 3s,3
75,2,DEFAULT_VEHTYPE,123284068,-406259780#0_0,19.617595993969804,15.663203705497308,yes,0,green granted after 3s,3
75,17,DEFAULT_VEHTYPE,5703666296,1194285983#0_0,21.70843473117229,8.518508793972433,yes,0,green granted after 3s,3
75,t1B3-b2739-sl4.0,bus,cluster_322079583_7059565429_7059565430_7059565458,755844263_0,6.211943511291786,2.947404022794217,yes,0,green granted after 3s,3
78,11,DEFAULT_VEHTYPE,123155447,405276988#6_0,77.02607684328014,8.70799039511867,yes,4,green granted after 3s,3
86,2,DEFAULT_VEHTYPE,122793100,-406259069_0,2.4506045455731176,12.414278811761521,yes,0,green granted after 3s,3
90,30,DEFAULT_VEHTYPE,GS_cluster_7059565448_7059565449_7464757604_939854561,755844260#0_0,33.32217730892915,3.0593394891303523,yes,4,green granted after 3s,3
92,13,DEFAULT_VEHTYPE,122793092,406264569#0_2,7.009479141621817,7.86319661634043,yes,6,green granted after 3s,3
96,24,DEFAULT_VEHTYPE,122793100,1051736211#16_0,4.666252224424589,6.110203798563465,yes,2,green granted after 3s,3
98,1,DEFAULT_VEHTYPE,GS_cluster_343596914_939854645,406258116#0_0,8.34834823548996,6.43768021196612,yes,0,green granted after 3s,3
99,t1B3-b2739-sl4.0,bus,cluster_461492468_7059565454,755844262#0_0,29.13320036007557,1.5443168743367877,yes,0,green granted after 3s,3
102,17,DEFAULT_VEHTYPE,122804862,1194285986_0,55.88195091043019,4.626309424072714,yes,2,green granted after 3s,3
103,12,DEFAULT_VEHTYPE,GS_cluster_268161414_5950715985,-4480316#1_1,55.88429743138806,4.573307877181904,yes,4,green granted after 3s,3
108,49,DEFAULT_VEHTYPE,cluster_268162626_7464757606_939854537,604060314#5_0,12.69234993747581,12.99278510637734,yes,2,green granted after 3s,3
109,6,DEFAULT_VEHTYPE,GS_cluster_343596914_939854645,406258116#0_0,22.44920188321977,10.366475523248695,yes,0,green granted after 3s,3
111,28,DEFAULT_VEHTYPE,GS_1166628306,405545577#4_1,31.91051677780319,2.5581241799494157,yes,0,green granted after 3s,3
111,t1B3-b2739-sl4.0,bus,cluster_461492468_7059565454,755844262#0_0,29.53419111104761,0.005768014697929765,yes,0,green granted after 3s,3
119,18,DEFAULT_VEHTYPE,GS_cluster_268161414_5950715985,406234624#0_0,14.19028907966235,14.907374322236457,yes,4,green granted after 3s,3
120,57,DEFAULT_VEHTYPE,122793092,406259061#6_1,0.9571685639977758,9.570373797698348,yes,0,green granted after 3s,3
120,42,DEFAULT_VEHTYPE,cluster_268162626_7464757606_939854537,406242924#0_1,8.890966538492236,10.591946579781242,yes,4,green granted after 3s,3
125,43,DEFAULT_VEHTYPE,122960160,-13345308#15_0,54.7541897528318,0.5793998441581926,yes,2,green granted after 3s,3
127,28,DEFAULT_VEHTYPE,268161337,604060296#1_1,57.019945169860506,3.812660731005378,yes,2,green granted after 3s,3
127,29,DEFAULT_VEHTYPE,GS_cluster_122793088_856214935,-406259065#2_1,35.39531160095708,0.30409565205911404,yes,0,green granted after 3s,3
129,30,DEFAULT_VEHTYPE,GS_cluster_268161414_5950715985,1065518636#0_2,40.69570153314248,0.8436593854189987,yes,0,green granted after 3s,3
130,17,DEFAULT_VEHTYPE,cluster_268162626_7464757606_939854537,604060314#5_0,88.2193070710972,1.644545862707214,yes,2,green granted after 3s,3
132,8,DEFAULT_VEHTYPE,GS_1166628306,405545577#4_1,31.11282333786245,4.225511739933674,yes,0,green granted after 3s,3
133,55,DEFAULT_VEHTYPE,GS_cluster_444570416_7059565461,406232658#0_2,24.345394275788763,0.4798816971287833,yes,0,green granted after 3s,3
135,64,DEFAULT_VEHTYPE,cluster_322079583_7059565429_7059565430_7059565458,406232660_2,3.444604622530343,4.928984984870665,yes,0,green granted after 3s,3
138,43,DEFAULT_VEHTYPE,cluster_122966911_7059565450,-599510795#2_0,49.224218779135796,6.275007311498447,yes,4,green granted after 3s,3
147,13,DEFAULT_VEHTYPE,122793100,406259066_0,22.00494810790971,0.29122205719960864,yes,0,green granted after 3s,3
147,66,DEFAULT_VEHTYPE,cluster_461492468_7059565454,406232643#0_0,5.442394201983184,5.904136613397345,yes,0,green granted after 3s,3
