vehicle_id,vehicle_type,start_time,end_time,duration
3,DEFAULT_VEHTYPE,6,64,58
0,DEFAULT_VEHTYPE,0,75,75
23,DEFAULT_VEHTYPE,46,86,40
20,DEFAULT_VEHTYPE,40,121,81
52,DEFAULT_VEHTYPE,104,146,42
22,DEFAULT_VEHTYPE,44,154,110
43,DEFAULT_VEHTYPE,86,155,69
39,DEFAULT_VEHTYPE,78,160,82
13,DEFAULT_VEHTYPE,26,163,137
19,DEFAULT_VEHTYPE,38,171,133
10,DEFAULT_VEHTYPE,20,175,155
60,DEFAULT_VEHTYPE,120,176,56
7,DEFAULT_VEHTYPE,14,177,163
35,DEFAULT_VEHTYPE,70,191,121
46,DEFAULT_VEHTYPE,92,193,101
62,DEFAULT_VEHTYPE,124,215,91
18,DEFAULT_VEHTYPE,36,223,187
65,DEFAULT_VEHTYPE,130,226,96
16,DEFAULT_VEHTYPE,32,237,205
55,DEFAULT_VEHTYPE,110,238,128
91,DEFAULT_VEHTYPE,182,243,61
69,DEFAULT_VEHTYPE,138,248,110
32,DEFAULT_VEHTYPE,64,250,186
1,DEFAULT_VEHTYPE,2,262,260
26,DEFAULT_VEHTYPE,52,267,215
51,DEFAULT_VEHTYPE,102,272,170
61,DEFAULT_VEHTYPE,122,272,150
107,DEFAULT_VEHTYPE,214,277,63
68,DEFAULT_VEHTYPE,136,281,145
63,DEFAULT_VEHTYPE,126,282,156
90,DEFAULT_VEHTYPE,180,287,107
70,DEFAULT_VEHTYPE,140,290,150
85,DEFAULT_VEHTYPE,170,290,120
98,DEFAULT_VEHTYPE,196,293,97
73,DEFAULT_VEHTYPE,146,295,149
123,DEFAULT_VEHTYPE,246,296,50
28,DEFAULT_VEHTYPE,56,297,241
57,DEFAULT_VEHTYPE,114,300,186
72,DEFAULT_VEHTYPE,144,306,162
108,DEFAULT_VEHTYPE,216,307,91
6,DEFAULT_VEHTYPE,12,308,296
125,DEFAULT_VEHTYPE,250,308,58
106,DEFAULT_VEHTYPE,212,309,97
119,DEFAULT_VEHTYPE,238,316,78
37,DEFAULT_VEHTYPE,74,320,246
94,DEFAULT_VEHTYPE,188,323,135
58,DEFAULT_VEHTYPE,116,324,208
104,DEFAULT_VEHTYPE,209,325,116
89,DEFAULT_VEHTYPE,178,334,156
79,DEFAULT_VEHTYPE,158,338,180
86,DEFAULT_VEHTYPE,172,340,168
54,DEFAULT_VEHTYPE,108,344,236
122,DEFAULT_VEHTYPE,244,350,106
105,DEFAULT_VEHTYPE,210,351,141
134,DEFAULT_VEHTYPE,268,351,83
153,DEFAULT_VEHTYPE,306,357,51
130,DEFAULT_VEHTYPE,260,363,103
31,DEFAULT_VEHTYPE,62,364,302
64,DEFAULT_VEHTYPE,128,364,236
88,DEFAULT_VEHTYPE,176,365,189
133,DEFAULT_VEHTYPE,266,371,105
141,DEFAULT_VEHTYPE,282,372,90
126,DEFAULT_VEHTYPE,253,375,122
127,DEFAULT_VEHTYPE,254,376,122
15,DEFAULT_VEHTYPE,31,377,346
44,DEFAULT_VEHTYPE,88,377,289
158,DEFAULT_VEHTYPE,316,377,61
12,DEFAULT_VEHTYPE,24,379,355
136,DEFAULT_VEHTYPE,272,383,111
103,DEFAULT_VEHTYPE,206,386,180
138,DEFAULT_VEHTYPE,276,386,110
34,DEFAULT_VEHTYPE,68,388,320
