sim_time,vehicle_id,tls_id,lane_id,eta,speed,priority_granted,phase_index,note
2.2,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,46.68,0.98,no,N/A,ETA too high (46.7s)
2.2,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,1.02,no,N/A,No TLS ahead
2.25,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,44.93,1.01,no,N/A,ETA too high (44.9s)
2.25,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,1.07,no,N/A,No TLS ahead
2.3,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,42.97,1.06,no,N/A,ETA too high (43.0s)
2.3,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,1.1,no,N/A,No TLS ahead
2.35,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,41.63,1.09,no,N/A,ETA too high (41.6s)
2.35,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,1.03,no,N/A,No TLS ahead
2.4,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,40.58,1.12,no,N/A,ETA too high (40.6s)
2.4,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.81,no,N/A,No TLS ahead
2.45,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,39.55,1.14,no,N/A,ETA too high (39.5s)
2.45,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.59,no,N/A,No TLS ahead
2.5,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,38.21,1.18,no,N/A,ETA too high (38.2s)
2.5,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.37,no,N/A,No TLS ahead
2.55,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,36.86,1.23,no,N/A,ETA too high (36.9s)
2.55,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.15,no,N/A,No TLS ahead
2.6,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,35.82,1.26,no,N/A,ETA too high (35.8s)
2.6,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
2.65,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,34.89,1.29,no,N/A,ETA too high (34.9s)
2.65,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
2.7,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,33.95,1.32,no,N/A,ETA too high (33.9s)
2.7,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
2.75,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,33.15,1.35,no,N/A,ETA too high (33.2s)
2.75,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
2.8,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,32.22,1.39,no,N/A,ETA too high (32.2s)
2.8,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
2.85,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,31.32,1.43,no,N/A,ETA too high (31.3s)
2.85,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
2.9,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,30.32,1.47,no,N/A,ETA too high (30.3s)
2.9,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
2.95,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,29.45,1.51,no,N/A,ETA too high (29.5s)
2.95,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
3.0,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,28.91,1.54,no,N/A,ETA too high (28.9s)
3.0,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
3.05,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,28.34,1.57,no,N/A,ETA too high (28.3s)
3.05,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
3.1,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,27.55,1.61,no,N/A,ETA too high (27.5s)
3.1,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
3.15,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,27.05,1.64,no,N/A,ETA too high (27.1s)
3.15,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
3.2,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,26.4,1.67,no,N/A,ETA too high (26.4s)
3.2,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
3.25,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,25.82,1.71,no,N/A,ETA too high (25.8s)
3.25,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
3.3,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,25.24,1.74,no,N/A,ETA too high (25.2s)
3.3,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
3.35,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,24.82,1.77,no,N/A,ETA too high (24.8s)
3.35,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
3.4,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,24.29,1.81,no,N/A,ETA too high (24.3s)
3.4,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
3.45,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,23.68,1.85,no,N/A,ETA too high (23.7s)
3.45,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
3.5,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,23.06,1.89,no,N/A,ETA too high (23.1s)
3.5,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
3.55,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,22.62,1.93,no,N/A,ETA too high (22.6s)
3.55,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
3.6,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,22.24,1.95,no,N/A,ETA too high (22.2s)
3.6,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
3.65,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,21.91,1.98,no,N/A,ETA too high (21.9s)
3.65,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
3.7,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,21.52,2.01,no,N/A,ETA too high (21.5s)
3.7,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
3.75,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,20.98,2.06,no,N/A,ETA too high (21.0s)
3.75,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
3.8,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,20.58,2.09,no,N/A,ETA too high (20.6s)
3.8,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
3.85,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,20.06,2.14,no,N/A,ETA too high (20.1s)
3.85,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
3.9,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,19.7,2.17,no,N/A,ETA too high (19.7s)
3.9,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
