sim_time,vehicle_id,tls_id,lane_id,eta,speed,priority_granted,phase_index,note
0.05,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,N/A,0.0,no,N/A,ETA unavailable
0.05,t212-b15F99-sl4.0,N/A,39497550_0,N/A,0.0,no,N/A,No TLS ahead
0.1,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,N/A,0.05,no,N/A,ETA unavailable
0.1,t212-b15F99-sl4.0,N/A,39497550_0,N/A,0.05,no,N/A,No TLS ahead
0.15,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,N/A,0.1,no,N/A,ETA unavailable
0.15,t212-b15F99-sl4.0,N/A,39497550_0,N/A,0.1,no,N/A,No TLS ahead
0.2,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,158.04,0.15,no,N/A,ETA too high (158.0s)
0.2,t212-b15F99-sl4.0,N/A,39497550_0,N/A,0.15,no,N/A,No TLS ahead
0.25,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,119.23,0.2,no,N/A,ETA too high (119.2s)
0.25,t212-b15F99-sl4.0,N/A,39497550_0,N/A,0.2,no,N/A,No TLS ahead
0.3,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,96.3,0.24,no,N/A,ETA too high (96.3s)
0.3,t212-b15F99-sl4.0,N/A,39497550_0,N/A,0.25,no,N/A,No TLS ahead
0.35,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,81.1,0.29,no,N/A,ETA too high (81.1s)
0.35,t212-b15F99-sl4.0,N/A,39497550_0,N/A,0.29,no,N/A,No TLS ahead
0.4,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,70.21,0.33,no,N/A,ETA too high (70.2s)
0.4,t212-b15F99-sl4.0,N/A,39497550_0,N/A,0.34,no,N/A,No TLS ahead
0.45,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,62.32,0.38,no,N/A,ETA too high (62.3s)
0.45,t212-b15F99-sl4.0,N/A,39497550_0,N/A,0.39,no,N/A,No TLS ahead
0.5,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,55.44,0.42,no,N/A,ETA too high (55.4s)
0.5,t212-b15F99-sl4.0,N/A,39497550_0,N/A,0.44,no,N/A,No TLS ahead
0.55,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,50.23,0.47,no,N/A,ETA too high (50.2s)
0.55,t212-b15F99-sl4.0,N/A,39497550_0,N/A,0.48,no,N/A,No TLS ahead
0.6,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,45.92,0.51,no,N/A,ETA too high (45.9s)
0.6,t212-b15F99-sl4.0,N/A,39497550_0,N/A,0.53,no,N/A,No TLS ahead
0.65,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,42.3,0.55,no,N/A,ETA too high (42.3s)
0.65,t212-b15F99-sl4.0,N/A,39497550_0,N/A,0.57,no,N/A,No TLS ahead
0.7,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,39.7,0.59,no,N/A,ETA too high (39.7s)
0.7,t212-b15F99-sl4.0,N/A,39497550_0,N/A,0.61,no,N/A,No TLS ahead
0.75,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,37.02,0.63,no,N/A,ETA too high (37.0s)
0.75,t212-b15F99-sl4.0,N/A,39497550_0,N/A,0.65,no,N/A,No TLS ahead
0.8,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,34.81,0.67,no,N/A,ETA too high (34.8s)
0.8,t212-b15F99-sl4.0,N/A,39497550_0,N/A,0.69,no,N/A,No TLS ahead
0.85,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,32.72,0.71,no,N/A,ETA too high (32.7s)
0.85,t212-b15F99-sl4.0,N/A,39497550_0,N/A,0.72,no,N/A,No TLS ahead
0.9,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,30.96,0.75,no,N/A,ETA too high (31.0s)
0.9,t212-b15F99-sl4.0,N/A,39497550_0,N/A,0.76,no,N/A,No TLS ahead
0.95,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,29.59,0.78,no,N/A,ETA too high (29.6s)
0.95,t212-b15F99-sl4.0,N/A,39497550_0,N/A,0.79,no,N/A,No TLS ahead
1.0,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,28.05,0.82,no,N/A,ETA too high (28.1s)
1.0,t212-b15F99-sl4.0,N/A,39497550_0,N/A,0.84,no,N/A,No TLS ahead
1.05,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,26.4,0.87,no,N/A,ETA too high (26.4s)
1.05,t212-b15F99-sl4.0,N/A,39497550_0,N/A,0.88,no,N/A,No TLS ahead
1.1,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,25.23,0.91,no,N/A,ETA too high (25.2s)
1.1,t212-b15F99-sl4.0,N/A,39497550_0,N/A,0.91,no,N/A,No TLS ahead
1.15,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,24.15,0.95,no,N/A,ETA too high (24.2s)
1.15,t212-b15F99-sl4.0,N/A,39497550_0,N/A,0.95,no,N/A,No TLS ahead
1.2,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,23.46,0.98,no,N/A,ETA too high (23.5s)
1.2,t212-b15F99-sl4.0,N/A,39497550_0,N/A,1.0,no,N/A,No TLS ahead
1.25,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,22.34,1.02,no,N/A,ETA too high (22.3s)
1.25,t212-b15F99-sl4.0,N/A,39497550_0,N/A,1.05,no,N/A,No TLS ahead
1.3,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,21.45,1.06,no,N/A,ETA too high (21.4s)
1.3,t212-b15F99-sl4.0,N/A,39497550_0,N/A,1.08,no,N/A,No TLS ahead
1.35,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,20.62,1.1,no,N/A,ETA too high (20.6s)
1.35,t212-b15F99-sl4.0,N/A,39497550_0,N/A,1.13,no,N/A,No TLS ahead
1.4,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,24.26,0.94,no,N/A,ETA too high (24.3s)
1.4,t212-b15F99-sl4.0,N/A,39497550_0,N/A,1.17,no,N/A,No TLS ahead
1.45,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,31.44,0.72,no,N/A,ETA too high (31.4s)
1.45,t212-b15F99-sl4.0,N/A,39497550_0,N/A,1.21,no,N/A,No TLS ahead
1.5,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,45.66,0.5,no,N/A,ETA too high (45.7s)
1.5,t212-b15F99-sl4.0,N/A,39497550_0,N/A,1.24,no,N/A,No TLS ahead
1.55,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,83.59,0.27,no,N/A,ETA too high (83.6s)
1.55,t212-b15F99-sl4.0,N/A,39497550_0,N/A,1.27,no,N/A,No TLS ahead
1.6,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,N/A,0.05,no,N/A,ETA unavailable
1.6,t212-b15F99-sl4.0,N/A,39497550_0,N/A,1.31,no,N/A,No TLS ahead
1.65,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,N/A,0.0,no,N/A,ETA unavailable
1.65,t212-b15F99-sl4.0,N/A,39497550_0,N/A,1.35,no,N/A,No TLS ahead
1.7,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,N/A,0.0,no,N/A,ETA unavailable
1.7,t212-b15F99-sl4.0,N/A,39497550_0,N/A,1.39,no,N/A,No TLS ahead
1.75,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,N/A,0.0,no,N/A,ETA unavailable
1.75,t212-b15F99-sl4.0,N/A,39497550_0,N/A,1.43,no,N/A,No TLS ahead
1.8,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,N/A,0.0,no,N/A,ETA unavailable
1.8,t212-b15F99-sl4.0,N/A,39497550_0,N/A,1.46,no,N/A,No TLS ahead
1.85,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,N/A,0.0,no,N/A,ETA unavailable
1.85,t212-b15F99-sl4.0,N/A,39497550_0,N/A,1.51,no,N/A,No TLS ahead
1.9,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,N/A,0.0,no,N/A,ETA unavailable
1.9,t212-b15F99-sl4.0,N/A,39497550_0,N/A,1.53,no,N/A,No TLS ahead
1.95,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,N/A,0.0,no,N/A,ETA unavailable
1.95,t212-b15F99-sl4.0,N/A,39497550_0,N/A,1.56,no,N/A,No TLS ahead
2.0,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,N/A,0.0,no,N/A,ETA unavailable
2.0,t212-b15F99-sl4.0,N/A,39497550_0,N/A,1.59,no,N/A,No TLS ahead
2.05,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,N/A,0.0,no,N/A,ETA unavailable
2.05,t212-b15F99-sl4.0,N/A,39497550_0,N/A,1.62,no,N/A,No TLS ahead
2.1,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,N/A,0.0,no,N/A,ETA unavailable
2.1,t212-b15F99-sl4.0,N/A,39497550_0,N/A,1.66,no,N/A,No TLS ahead
2.15,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,N/A,0.0,no,N/A,ETA unavailable
2.15,t212-b15F99-sl4.0,N/A,39497550_0,N/A,1.7,no,N/A,No TLS ahead
2.2,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,N/A,0.0,no,N/A,ETA unavailable
2.2,t212-b15F99-sl4.0,N/A,39497550_0,N/A,1.75,no,N/A,No TLS ahead
2.25,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,N/A,0.0,no,N/A,ETA unavailable
2.25,t212-b15F99-sl4.0,N/A,39497550_0,N/A,1.79,no,N/A,No TLS ahead
2.3,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,N/A,0.0,no,N/A,ETA unavailable
2.3,t212-b15F99-sl4.0,N/A,39497550_0,N/A,1.83,no,N/A,No TLS ahead
2.35,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,N/A,0.0,no,N/A,ETA unavailable
2.35,t212-b15F99-sl4.0,N/A,39497550_0,N/A,1.88,no,N/A,No TLS ahead
2.4,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,N/A,0.0,no,N/A,ETA unavailable
2.4,t212-b15F99-sl4.0,N/A,39497550_0,N/A,1.92,no,N/A,No TLS ahead
2.45,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,N/A,0.0,no,N/A,ETA unavailable
2.45,t212-b15F99-sl4.0,N/A,39497550_0,N/A,1.96,no,N/A,No TLS ahead
2.5,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,N/A,0.0,no,N/A,ETA unavailable
2.5,t212-b15F99-sl4.0,N/A,39497550_0,N/A,1.99,no,N/A,No TLS ahead
2.55,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,N/A,0.0,no,N/A,ETA unavailable
2.55,t212-b15F99-sl4.0,N/A,39497550_0,N/A,2.04,no,N/A,No TLS ahead
2.6,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,N/A,0.0,no,N/A,ETA unavailable
2.6,t212-b15F99-sl4.0,N/A,39497550_0,N/A,2.07,no,N/A,No TLS ahead
2.65,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,N/A,0.0,no,N/A,ETA unavailable
2.65,t212-b15F99-sl4.0,N/A,39497550_0,N/A,2.12,no,N/A,No TLS ahead
2.7,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,N/A,0.0,no,N/A,ETA unavailable
2.7,t212-b15F99-sl4.0,N/A,39497550_0,N/A,2.15,no,N/A,No TLS ahead
2.75,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,N/A,0.0,no,N/A,ETA unavailable
2.75,t212-b15F99-sl4.0,N/A,39497550_0,N/A,2.2,no,N/A,No TLS ahead
2.8,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,N/A,0.0,no,N/A,ETA unavailable
2.8,t212-b15F99-sl4.0,N/A,39497550_0,N/A,2.25,no,N/A,No TLS ahead
2.85,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,N/A,0.0,no,N/A,ETA unavailable
2.85,t212-b15F99-sl4.0,N/A,39497550_0,N/A,2.29,no,N/A,No TLS ahead
2.9,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,N/A,0.0,no,N/A,ETA unavailable
2.9,t212-b15F99-sl4.0,N/A,39497550_0,N/A,2.32,no,N/A,No TLS ahead
2.95,t1A9-b1601D-sl4.0,cluster_123566647_1923921203,405337823_0,N/A,0.0,no,N/A,ETA unavailable
2.95,t212-b15F99-sl4.0,N/A,39497550_0,N/A,2.35,no,N/A,No TLS ahead
