vehicle_id,vehicle_type,tls_id,wait_start_time,wait_end_time,wait_duration
t1A9-b1601D-sl4.0,bus,cluster_123566647_1923921203,21,43,22
38,DEFAULT_VEHTYPE,GS_cluster_1923921170_343582995,92,103,11
5,DEFAULT_VEHTYPE,GS_cluster_27463896_4037111694,98,107,9
54,DEFAULT_VEHTYPE,cluster_6307954384_6787545996,108,109,1
55,DEFAULT_VEHTYPE,7465259351,110,111,1
11,DEFAULT_VEHTYPE,123175397,74,120,46
10,DEFAULT_VEHTYPE,cluster_123582306_1923921147,121,136,15
0,DEFAULT_VEHTYPE,123564922,95,139,44
6,DEFAULT_VEHTYPE,310906213,110,146,36
19,DEFAULT_VEHTYPE,GS_cluster_27463896_4037111694,108,154,46
6,DEFAULT_VEHTYPE,310904258,149,159,10
18,DEFAULT_VEHTYPE,123175397,115,162,47
12,DEFAULT_VEHTYPE,GS_cluster_1923921170_343582995,152,164,12
13,DEFAULT_VEHTYPE,123513358,144,164,20
51,DEFAULT_VEHTYPE,122881205,141,166,25
54,DEFAULT_VEHTYPE,GS_cluster_4037111697_473127775_8763581879_8763581885,135,167,32
18,DEFAULT_VEHTYPE,GS_cluster_360028147_605187934,167,189,22
22,DEFAULT_VEHTYPE,cluster_1923921162_271806814,155,190,35
44,DEFAULT_VEHTYPE,123513358,183,196,13
99,DEFAULT_VEHTYPE,GS_cluster_123663371_3137460745,198,199,1
40,DEFAULT_VEHTYPE,joinedS_cluster_122693381_1923921119_cluster_1923879157_4075433697,195,207,12
47,DEFAULT_VEHTYPE,GS_cluster_4037111697_473127775_8763581879_8763581885,182,210,28
8,DEFAULT_VEHTYPE,GS_cluster_4037111697_473127775_8763581879_8763581885,181,212,31
42,DEFAULT_VEHTYPE,GS_cluster_1923921142_271806925,129,214,85
57,DEFAULT_VEHTYPE,GS_cluster_1923921170_343582995,170,214,44
82,DEFAULT_VEHTYPE,27463890,178,221,43
58,DEFAULT_VEHTYPE,268528896,211,223,12
66,DEFAULT_VEHTYPE,GS_cluster_271807508_3137460734,165,225,60
t212-b15F99-sl4.0,bus,GS_cluster_27463896_4037111694,216,226,10
54,DEFAULT_VEHTYPE,268528897,201,228,27
64,DEFAULT_VEHTYPE,GS_cluster_332129745_4075303431,200,229,29
3,DEFAULT_VEHTYPE,cluster_1923921162_271806814,177,230,53
70,DEFAULT_VEHTYPE,310906213,210,239,29
59,DEFAULT_VEHTYPE,GS_cluster_271807508_3137460734,164,240,76
