sim_time,vehicle_id,tls_id,lane_id,eta,speed,priority_granted,phase_index,note
43.15,bus2,N/A,604060288_0,N/A,20.1,no,N/A,No TLS ahead
43.2,bus1,N/A,406241587#8_1,N/A,26.98,no,N/A,No TLS ahead
43.2,bus2,N/A,604060288_0,N/A,20.12,no,N/A,No TLS ahead
43.25,bus1,N/A,406241587#8_1,N/A,27.01,no,N/A,No TLS ahead
43.25,bus2,N/A,604060288_0,N/A,20.11,no,N/A,No TLS ahead
43.3,bus1,N/A,406241587#8_1,N/A,27.06,no,N/A,No TLS ahead
43.3,bus2,N/A,604060288_0,N/A,20.11,no,N/A,No TLS ahead
43.35,bus1,N/A,406241587#8_1,N/A,27.1,no,N/A,No TLS ahead
43.35,bus2,N/A,604060288_0,N/A,20.11,no,N/A,No TLS ahead
43.4,bus1,N/A,406241587#8_1,N/A,27.14,no,N/A,No TLS ahead
43.4,bus2,N/A,604060288_0,N/A,20.11,no,N/A,No TLS ahead
43.45,bus1,N/A,406241587#8_1,N/A,27.18,no,N/A,No TLS ahead
43.45,bus2,N/A,604060288_0,N/A,20.11,no,N/A,No TLS ahead
43.5,bus1,N/A,406241587#8_1,N/A,27.23,no,N/A,No TLS ahead
43.5,bus2,N/A,604060288_0,N/A,20.11,no,N/A,No TLS ahead
43.55,bus1,N/A,406241587#8_1,N/A,27.28,no,N/A,No TLS ahead
43.55,bus2,N/A,604060288_0,N/A,20.11,no,N/A,No TLS ahead
43.6,bus1,N/A,406241587#8_1,N/A,27.33,no,N/A,No TLS ahead
43.6,bus2,N/A,604060288_0,N/A,20.1,no,N/A,No TLS ahead
43.65,bus1,N/A,406241587#8_1,N/A,27.39,no,N/A,No TLS ahead
43.65,bus2,N/A,604060288_0,N/A,20.1,no,N/A,No TLS ahead
43.7,bus1,N/A,406241587#8_1,N/A,27.42,no,N/A,No TLS ahead
43.7,bus2,N/A,604060288_0,N/A,20.1,no,N/A,No TLS ahead
43.75,bus1,N/A,406241587#8_1,N/A,27.46,no,N/A,No TLS ahead
43.75,bus2,N/A,604060288_0,N/A,20.1,no,N/A,No TLS ahead
43.8,bus1,N/A,406241587#8_1,N/A,27.49,no,N/A,No TLS ahead
43.8,bus2,N/A,604060288_0,N/A,20.12,no,N/A,No TLS ahead
43.85,bus1,N/A,406241587#8_1,N/A,27.54,no,N/A,No TLS ahead
43.85,bus2,N/A,604060288_0,N/A,20.09,no,N/A,No TLS ahead
43.9,bus1,N/A,406241587#8_1,N/A,27.57,no,N/A,No TLS ahead
43.9,bus2,N/A,604060288_0,N/A,20.1,no,N/A,No TLS ahead
43.95,bus1,N/A,406241587#8_1,N/A,27.62,no,N/A,No TLS ahead
43.95,bus2,N/A,604060288_0,N/A,20.1,no,N/A,No TLS ahead
44.0,bus1,N/A,406241587#8_1,N/A,27.65,no,N/A,No TLS ahead
